'Crate name', 'Successful filtering', 'Duration (s)', 'Exit status', 'Start', 'End'
'149_openssl-probe', true, 0, 0, '2018-11-14 15:39:33', '2018-11-14 15:39:33'
'150_remove_dir_all', true, 1, 0, '2018-11-14 15:39:33', '2018-11-14 15:39:34'
'151_tar', true, 13, 0, '2018-11-14 15:39:34', '2018-11-14 15:39:47'
'152_humantime', true, 4, 0, '2018-11-14 15:39:47', '2018-11-14 15:39:51'
'154_redox_syscall', true, 3, 0, '2018-11-14 15:39:51', '2018-11-14 15:39:54'
'155_libssh2-sys', true, 28, 0, '2018-11-14 15:39:54', '2018-11-14 15:40:22'
'156_foreign-types-shared', true, 0, 0, '2018-11-14 15:40:22', '2018-11-14 15:40:22'
'157_futures-cpupool', true, 2, 0, '2018-11-14 15:40:22', '2018-11-14 15:40:24'
'158_enum_primitive', true, 0, 0, '2018-11-14 15:40:24', '2018-11-14 15:40:24'
'162_hpack', true, 7, 0, '2018-11-14 15:40:24', '2018-11-14 15:40:31'
'163_rust-crypto', true, 126, 0, '2018-11-14 15:40:31', '2018-11-14 15:42:37'
'164_serde_codegen_internals', true, 8, 0, '2018-11-14 15:42:37', '2018-11-14 15:42:45'
'165_core-foundation', true, 3, 0, '2018-11-14 15:42:45', '2018-11-14 15:42:48'
'166_core-foundation-sys', true, 1, 0, '2018-11-14 15:42:48', '2018-11-14 15:42:49'
'167_socket2', true, 3, 0, '2018-11-14 15:42:49', '2018-11-14 15:42:52'
'168_adler32', true, 1, 0, '2018-11-14 15:42:52', '2018-11-14 15:42:53'
'170_native-tls', true, 2, 0, '2018-11-14 15:42:53', '2018-11-14 15:42:55'
'173_pest', true, 11, 0, '2018-11-14 15:42:55', '2018-11-14 15:43:06'
'174_rand_core', true, 2, 0, '2018-11-14 15:43:06', '2018-11-14 15:43:08'
'176_diff', true, 2, 0, '2018-11-14 15:43:08', '2018-11-14 15:43:10'
'177_gl_generator', true, 16, 0, '2018-11-14 15:43:10', '2018-11-14 15:43:26'
'178_wincolor', true, 0, 0, '2018-11-14 15:43:26', '2018-11-14 15:43:26'
'180_untrusted', true, 1, 0, '2018-11-14 15:43:26', '2018-11-14 15:43:27'
'181_tokio-service', true, 1, 0, '2018-11-14 15:43:27', '2018-11-14 15:43:28'
'183_bufstream', true, 0, 0, '2018-11-14 15:43:28', '2018-11-14 15:43:28'
'184_git2-curl', true, 3, 0, '2018-11-14 15:43:28', '2018-11-14 15:43:31'
'186_take', true, 0, 0, '2018-11-14 15:43:31', '2018-11-14 15:43:31'
'187_ordermap', true, 4, 0, '2018-11-14 15:43:31', '2018-11-14 15:43:35'
'188_khronos_api', true, 2, 0, '2018-11-14 15:43:35', '2018-11-14 15:43:37'
'189_vcpkg', true, 5, 0, '2018-11-14 15:43:37', '2018-11-14 15:43:42'
'193_memmap', true, 1, 0, '2018-11-14 15:43:42', '2018-11-14 15:43:44'
'195_fuchsia-zircon', true, 11, 0, '2018-11-14 15:43:44', '2018-11-14 15:43:55'
'196_fuchsia-zircon-sys', true, 3, 0, '2018-11-14 15:43:55', '2018-11-14 15:43:58'
'198_tokio-reactor', true, 96, 0, '2018-11-14 15:43:58', '2018-11-14 15:45:34'
'199_tokio-threadpool', true, 11, 0, '2018-11-14 15:45:34', '2018-11-14 15:45:45'
'203_shell-escape', true, 1, 0, '2018-11-14 15:45:45', '2018-11-14 15:45:46'
'204_sha1', true, 2, 0, '2018-11-14 15:45:46', '2018-11-14 15:45:48'
'205_tokio-executor', true, 2, 0, '2018-11-14 15:45:48', '2018-11-14 15:45:50'
'206_generic-array', true, 6, 0, '2018-11-14 15:45:50', '2018-11-14 15:45:56'
'207_unsafe-any', true, 0, 0, '2018-11-14 15:45:56', '2018-11-14 15:45:57'
'208_xattr', true, 1, 0, '2018-11-14 15:45:57', '2018-11-14 15:45:58'
'209_fixedbitset', true, 2, 0, '2018-11-14 15:45:58', '2018-11-14 15:46:00'
'211_open', true, 1, 0, '2018-11-14 15:46:00', '2018-11-14 15:46:01'
'214_crc', true, 1, 0, '2018-11-14 15:46:01', '2018-11-14 15:46:02'
'217_quine-mc_cluskey', true, 4, 0, '2018-11-14 15:46:02', '2018-11-14 15:46:06'
'218_relay', true, 0, 0, '2018-11-14 15:46:06', '2018-11-14 15:46:06'
'219_scoped_threadpool', true, 2, 0, '2018-11-14 15:46:06', '2018-11-14 15:46:08'
'221_antidote', true, 1, 0, '2018-11-14 15:46:08', '2018-11-14 15:46:09'
'222_jobserver', true, 3, 0, '2018-11-14 15:46:09', '2018-11-14 15:46:12'
'223_encoding_index_tests', true, 0, 0, '2018-11-14 15:46:12', '2018-11-14 15:46:12'
'225_termion', true, 6, 0, '2018-11-14 15:46:12', '2018-11-14 15:46:18'
'227_winapi-x86_64-pc-windows-gnu', true, 1, 0, '2018-11-14 15:46:18', '2018-11-14 15:46:19'
'232_tokio-udp', true, 2, 0, '2018-11-14 15:46:19', '2018-11-14 15:46:21'
