'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'437_tiny-keccak', true, 0, 0, 0, 12, 0, '2018-11-15 07:14:36', '2018-11-15 07:14:48', 0.0, 0.0, 0.0, 1.13
'438_cloudabi', true, 109, 109, 109, 32, 0, '2018-11-15 07:14:48', '2018-11-15 07:15:21', 0.0, 0.0, 1.17, 10.58
'439_slog-term', true, 2, 2, 2, 129, 0, '2018-11-15 07:15:21', '2018-11-15 07:17:30', 0.0, 0.0, 0.0, 1.47
'441_ws', true, 2, 2, 2, 287, 0, '2018-11-15 07:17:30', '2018-11-15 07:22:17', 0.2, 0.0, 0.47, 16.49
'443_string', true, 0, 0, 0, 4, 0, '2018-11-15 07:22:17', '2018-11-15 07:22:21', 0.0, 0.0, 0.0, 1.11
'444_tokio-current-thread', true, 2, 2, 2, 35, 0, '2018-11-15 07:22:21', '2018-11-15 07:22:56', 0.0, 0.0, 0.2, 1.40
'445_procedural-masquerade', true, 0, 0, 0, 3, 0, '2018-11-15 07:22:56', '2018-11-15 07:22:59', 0.0, 0.0, 0.0, 1.14
'446_r2d2', true, 0, 0, 0, 21, 0, '2018-11-15 07:22:59', '2018-11-15 07:23:20', 0.0, 0.0, 0.0, 1.18
'447_stb_truetype', true, 0, 0, 0, 16, 0, '2018-11-15 07:23:20', '2018-11-15 07:23:36', 0.0, 0.0, 0.0, 1.8
'448_cexpr', true, 0, 0, 0, 80, 0, '2018-11-15 07:23:36', '2018-11-15 07:24:56', 0.0, 0.0, 0.0, 1.8
'450_tokio-signal', true, 0, 0, 0, 216, 0, '2018-11-15 07:24:56', '2018-11-15 07:28:32', 0.0, 0.0, 0.0, 1.11
'454_rustc-hash', true, 2, 2, 2, 10, 0, '2018-11-15 07:28:32', '2018-11-15 07:28:42', 0.0, 0.0, 0.2, 1.48
'455_c_vec', true, 0, 0, 0, 3, 0, '2018-11-15 07:28:42', '2018-11-15 07:28:45', 0.0, 0.0, 0.0, 1.8
'456_rustc-rayon-core', true, 1, 1, 1, 73, 0, '2018-11-15 07:28:45', '2018-11-15 07:29:58', 0.1, 0.0, 0.0, 1.24
'458_gfx_gl', true, 1, 1, 1, 199, 0, '2018-11-15 07:29:58', '2018-11-15 07:33:18', 0.0, 0.0, 0.2, 1.22
'459_rmp', true, 1, 1, 1, 33, 0, '2018-11-15 07:33:18', '2018-11-15 07:33:51', 0.0, 0.0, 0.0, 1.41
'462_gl', true, 1, 1, 1, 89, 0, '2018-11-15 07:33:51', '2018-11-15 07:35:21', 0.0, 0.0, 0.1, 1.20
'465_dwmapi-sys', true, 0, 0, 0, 12, 0, '2018-11-15 07:35:21', '2018-11-15 07:35:33', 0.0, 0.0, 0.0, 1.17
