'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'002_log', "log::eq_ignore_ascii_case[0]::to_ascii_uppercase[0]", true, 6, 0, '2018-11-14 17:57:25', '2018-11-14 17:57:31', 0.0, 0.0, 0.3, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[16]::mul_add_assign[0]", false, 15, 101, '2018-11-14 17:57:32', '2018-11-14 17:57:47', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[17]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:57:47', '2018-11-14 17:58:01', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[18]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:58:01', '2018-11-14 17:58:17', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[19]::mul_add_assign[0]", false, 13, 101, '2018-11-14 17:58:17', '2018-11-14 17:58:30', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[20]::mul_add_assign[0]", false, 15, 101, '2018-11-14 17:58:30', '2018-11-14 17:58:46', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[21]::mul_add_assign[0]", false, 13, 101, '2018-11-14 17:58:46', '2018-11-14 17:58:59', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[22]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:58:59', '2018-11-14 17:59:15', 0.1, 0.0, 0.5, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[23]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:59:15', '2018-11-14 17:59:29', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[24]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:59:29', '2018-11-14 17:59:45', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[25]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:59:45', '2018-11-14 17:59:59', 0.1, 0.0, 0.5, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[26]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:59:59', '2018-11-14 18:00:15', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[27]::mul_add_assign[0]", false, 14, 101, '2018-11-14 18:00:15', '2018-11-14 18:00:29', 0.1, 0.0, 0.4, 
'013_aho-corasick', "aho_corasick_dot::lib[0]::vec_bytes[0]", false, 39, 101, '2018-11-14 18:00:29', '2018-11-14 18:01:09', 0.0, 0.0, 0.0, 
'018_time', "time::display[0]::is_leap_year[0]", true, 15, 0, '2018-11-14 18:01:09', '2018-11-14 18:01:24', 0.1, 0.0, 0.8, 
'018_time', "time::display[0]::iso_week_days[0]", false, 13, 101, '2018-11-14 18:01:24', '2018-11-14 18:01:37', 0.1, 0.0, 0.29, 
'018_time', "time::display[0]::abs[0]", false, 4, 101, '2018-11-14 18:01:37', '2018-11-14 18:01:41', 0.1, 0.0, 0.6, 
'018_time', "time::duration[0]::div_rem_64[0]", false, 68, 101, '2018-11-14 18:01:41', '2018-11-14 18:02:49', 0.1, 0.0, 0.7, 
