"Crate name","Number of dependencies","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
'178_wincolor',4,.5,0,0,5.98
'180_untrusted',1,0,0,0,1.41
'181_tokio-service',2,.5,0,0,2.76
'183_bufstream',1,0,0,0,1.41
'184_git2-curl',25,3.06,0,0,73.20
'186_take',1,0,0,0,1.40
'187_ordermap',1,.1,0,.3,1.99
'188_khronos_api',2,0,0,0,2.78
'189_vcpkg',1,0,0,0,1.43
'193_memmap',2,0,0,.9,3.69
'195_fuchsia-zircon',3,.1,0,.82,11.95
'196_fuchsia-zircon-sys',1,0,0,0,1.68
'198_tokio-reactor',33,2.81,0,0,133.70
'199_tokio-threadpool',19,1.50,.1,.7,74.88
'203_shell-escape',1,0,0,0,1.39
'204_sha1',1,0,0,0,1.82
'205_tokio-executor',2,.5,0,.1,3.22
'206_generic-array',3,.1,0,0,4.37
'207_unsafe-any',2,0,0,0,2.82
'208_xattr',2,0,0,0,2.80
'209_fixedbitset',1,0,0,.1,2.7
'211_open',2,0,0,0,2.88
'214_crc',3,0,0,0,4.29
'217_quine-mc_cluskey',1,0,0,.1,1.83
'218_relay',2,.5,0,0,2.74
'219_scoped_threadpool',1,0,0,0,1.49
'221_antidote',1,0,0,0,1.45
'222_jobserver',4,0,0,0,6.20
'223_encoding_index_tests',1,0,0,0,1.37
'225_termion',2,0,0,0,3.13
'227_winapi-x86_64-pc-windows-gnu',2,0,0,0,2.84
'232_tokio-udp',35,5.10,.2,0,138.78
'233_tokio-tcp',34,4.05,0,0,140.85
'234_png',12,1.0,0,.15,37.77
'236_typenum',2,.1,0,.7,3.70
'238_winapi-i686-pc-windows-gnu',2,0,0,0,2.89
'242_quasi_codegen',14,1.37,.1,0,27.86
'243_tokio-tls',22,2.50,.1,0,77.80
'244_bit-vec',1,0,0,.5,2.1
'246_home',1,0,0,.2,2.7
'248_ring',6,.7,0,0,10.66
'249_libloading',3,.1,0,.1,4.46
'250_redox_termios',2,.1,0,0,2.80
'251_shared_library',3,0,0,0,4.27
'252_rls-data',3,.2,0,0,4.29
'253_inflate',2,0,0,.1,3.55
'254_schannel',4,.9,0,0,5.88
'257_build_const',1,0,0,0,1.97
'258_gif',3,0,0,0,4.84
'261_tendril',7,.1,0,.1,12.99
'262_mac',1,0,0,0,1.43
'263_utf-8',1,0,0,0,1.41
'264_futf',5,0,0,0,9.24
'265_modifier',1,0,0,0,1.58
'266_plugin',4,0,0,0,5.66
'267_pnacl-build-helper',7,.4,0,0,12.07
'269_bit-set',2,0,0,0,2.82
'270_rls-span',1,0,0,.26,4.14
'271_lzw',1,0,0,.1,2.35
'274_digest',4,.1,0,0,5.89
'275_color_quant',1,0,0,0,1.41
'276_lzma-sys',5,.1,0,0,8.64
'277_iron',40,4.03,.1,0,151.16
'278_tokio-fs',24,2.23,.3,.15,94.39
'279_xz2',6,.1,0,0,10.84
'280_shlex',1,0,0,0,1.48
'281_coco',3,.1,0,0,4.94
'282_string_cache_shared',1,0,0,0,1.42
'284_string_cache_codegen',13,1.2,0,0,32.31
'286_ryu',2,0,0,.2,3.42
'287_byte-tools',1,0,0,0,1.40
'289_glutin',50,4.71,.1,.10,209.43
'290_rls-vfs',2,0,0,0,2.78
'291_crypto-hash',14,1.3,0,0,49.94
'292_sha2',12,.4,0,.3,28.32
'294_precomputed-hash',1,0,0,0,1.39
'295_if_chain',1,0,0,0,1.40
'298_conduit-mime-types',2,.2,0,0,2.86
'300_difference',2,0,0,.1,3.01
'301_debug_unreachable',3,0,0,0,4.24
'302_fake-simd',1,0,0,0,1.42
'303_mio-uds',9,.5,0,0,18.38
'304_error',3,0,0,0,5.65
'305_json',1,.1,0,.9,2.95
'306_deflate',3,.3,0,.10,6.05
'308_x11-dl',5,.3,0,0,8.53
'309_deque',1,0,0,0,1.39
'310_typed-arena',1,0,0,0,1.49
'312_constant_time_eq',1,0,0,0,1.46
'313_heapsize',2,0,0,0,2.74
'314_commoncrypto-sys',2,0,0,0,2.80
'317_lock_api',2,0,0,0,2.81
'320_gleam',9,.4,0,.4,18.90
'321_ascii',1,.1,0,.4,2.32
'322_zip',17,1.1,0,0,41.87
'323_rustc-ap-serialize',4,.3,0,0,5.96
'326_rustc-ap-rustc_cratesio_shim',5,.1,0,0,9.42
'329_wayland-client',12,.51,.1,.38,39.58
'330_encoding_rs',3,.20,0,.37,8.08
'331_tokio-codec',9,1.3,0,.1,17.28
'332_maplit',1,0,0,0,1.38
'333_podio',1,0,0,0,1.40
'334_strings',4,.1,0,0,5.61
'335_msdos_time',3,.1,0,0,4.67
'337_osmesa-sys',4,0,0,0,5.90
'338_unix_socket',3,0,0,0,4.35
'339_openssl-verify',9,.3,0,0,20.74
'341_winit',43,4.88,.1,.6,167.68
'342_euclid',3,.5,0,.10,5.78
'344_colored',2,0,0,.1,3.30
'345_block-buffer',7,.4,0,0,11.83
'346_want',5,.6,0,0,9.08
'347_try-lock',1,0,0,0,1.47
'348_cgmath',8,.7,0,.1,17.79
'351_lru-cache',2,0,0,0,2.94
'352_wayland-sys',5,.1,0,.1,7.47
'353_threadpool',3,0,0,0,4.26
'354_dlib',4,.1,0,0,5.62
'355_wayland-scanner',3,.2,0,0,4.22
'356_tokio-uds',35,3.21,.3,0,139.51
'357_approx',3,.1,0,.2,4.72
'359_pretty_assertions',3,0,0,0,4.50
'360_route-recognizer',1,0,0,0,1.42
'361_md5',1,0,0,0,1.35
'362_ena',3,0,0,0,4.18
'363_ar',2,.1,0,0,2.91
'364_wayland-kbd',15,.7,0,.9,29.90
'365_arrayref',1,0,0,0,1.47
'366_log_settings',2,0,0,0,2.92
'369_tiny_http',25,4.15,.1,.1,87.91
'370_psapi-sys',4,.28,0,0,6.75
'371_http',7,.6,0,.39,18.21
'372_slog',2,.1,0,.5,3.18
'373_chunked_transfer',1,0,0,0,1.39
'374_wayland-window',23,1.0,0,0,63.88
'375_crossbeam-channel',26,2.8,0,0,103.83
'376_notify',41,4.63,.4,.7,162.65
'377_bzip2-sys',4,.1,0,0,5.79
'379_is-match',1,0,0,0,1.53
'382_bytecount',1,0,0,.1,1.74
'383_bzip2',5,.1,0,0,7.13
'385_crypto-mac',5,.1,0,0,7.58
'389_xdg',1,0,0,0,1.37
'391_shell32-sys',4,.24,0,0,7.00
'393_hmac',9,.4,0,0,16.98
'394_rls-blacklist',1,0,0,0,1.48
'395_indexmap',1,.1,0,.3,1.97
'397_syslog',11,.3,0,0,19.15
'399_errno',2,0,0,0,3.01
'402_rpassword',2,0,0,0,2.81
'404_fern',3,0,0,0,4.36
'405_strum',1,0,0,0,1.39
'408_objc',3,0,0,0,4.21
'409_termios',2,0,0,0,2.82
'410_inotify',36,3.25,.3,.21,147.15
'415_crc16',2,0,0,0,2.84
'418_malloc_buf',2,0,0,.1,2.82
'419_target_build_utils',18,1.71,0,0,46.91
'423_h2',15,2.60,0,1.17,55.23
'425_radix_trie',3,0,0,0,6.02
'426_nibble_vec',1,0,0,0,1.40
'428_conv',2,0,0,0,2.84
'430_draw_state',2,0,0,.39,12.21
'432_endian-type',1,0,0,0,1.42
'434_environment',1,0,0,0,1.43
