'Crate name', 'Number of procedures', 'Number of supported procedures', 'Number of supported procedures using assertions'
'233_tokio-tcp', 61, 0, 0
'234_png', 238, 23, 0
'236_typenum', 396, 36, 0
'238_winapi-i686-pc-windows-gnu', 0, 0, 0
'242_quasi_codegen', 27, 0, 0
'243_tokio-tls', 14, 0, 0
'244_bit-vec', 89, 15, 0
'246_home', 12, 1, 0
'248_ring', 447, 2, 0
'249_libloading', 33, 1, 0
'250_redox_termios', 11, 0, 0
'251_shared_library', 21, 0, 0
'252_rls-data', 110, 0, 0
'253_inflate', 68, 2, 0
'254_schannel', 0, 0, 0
'257_build_const', 16, 1, 0
'258_gif', 90, 0, 0
'261_tendril', 189, 6, 0
'262_mac', 0, 0, 0
'263_utf-8', 19, 0, 0
'264_futf', 33, 0, 0
'265_modifier', 8, 0, 0
'266_plugin', 4, 0, 0
'267_pnacl-build-helper', 36, 0, 0
'269_bit-set', 68, 0, 0
'270_rls-span', 119, 12, 4
'271_lzw', 40, 3, 0
'274_digest', 13, 1, 0
'275_color_quant', 14, 0, 0
'276_lzma-sys', 1, 0, 0
'277_iron', 110, 2, 0
'278_tokio-fs', 119, 6, 0
'279_xz2', 126, 0, 0
'280_shlex', 8, 0, 0
'281_coco', 127, 0, 0
'282_string_cache_shared', 1, 0, 0
'284_string_cache_codegen', 9, 0, 0
'286_ryu', 39, 4, 4
'287_byte-tools', 3, 0, 0
'289_glutin', 350, 6, 0
'290_rls-vfs', 69, 0, 0
'291_crypto-hash', 8, 0, 0
'292_sha2', 79, 3, 0
'294_precomputed-hash', 2, 0, 0
'295_if_chain', 0, 0, 0
'298_conduit-mime-types', 9, 0, 0
'300_difference', 1, 1, 0
'301_debug_unreachable', 0, 0, 0
'302_fake-simd', 15, 0, 0
'303_mio-uds', 69, 0, 0
'304_error', 5, 0, 0
'305_json', 328, 3, 1
'306_deflate', 238, 15, 2
'308_x11-dl', 1196, 0, 0
'309_deque', 27, 0, 0
'310_typed-arena', 8, 0, 0
'312_constant_time_eq', 2, 0, 0
'313_heapsize', 51, 0, 0
'314_commoncrypto-sys', 20, 0, 0
'317_lock_api', 145, 0, 0
'320_gleam', 2490, 4, 0
'321_ascii', 257, 6, 0
'322_zip', 91, 0, 0
'323_rustc-ap-serialize', 495, 1, 0
'326_rustc-ap-rustc_cratesio_shim', 0, 0, 0
'329_wayland-client', 760, 35, 0
'330_encoding_rs', 486, 2, 0
'331_tokio-codec', 36, 2, 0
'332_maplit', 1, 0, 0
'333_podio', 42, 0, 0
'334_strings', 163, 0, 0
'335_msdos_time', 7, 1, 0
'337_osmesa-sys', 15, 0, 0
'338_unix_socket', 79, 0, 0
'339_openssl-verify', 7, 0, 0
'341_winit', 776, 8, 0
'342_euclid', 656, 26, 0
'344_colored', 147, 2, 0
'345_block-buffer', 13, 0, 0
'346_want', 22, 0, 0
'347_try-lock', 11, 0, 0
'348_cgmath', 1988, 7, 0
'351_lru-cache', 34, 0, 0
'352_wayland-sys', 4, 2, 2
'353_threadpool', 29, 0, 0
'354_dlib', 0, 0, 0
'355_wayland-scanner', 59, 0, 0
'356_tokio-uds', 83, 0, 0
'357_approx', 79, 12, 0
'359_pretty_assertions', 4, 0, 0
'360_route-recognizer', 72, 0, 0
'361_md5', 21, 0, 0
'362_ena', 81, 0, 0
'363_ar', 47, 0, 0
'364_wayland-kbd', 141, 12, 0
'365_arrayref', 0, 0, 0
'366_log_settings', 5, 0, 0
'369_tiny_http', 153, 2, 0
'370_psapi-sys', 0, 0, 0
'371_http', 668, 22, 2
'372_slog', 186, 3, 0
'373_chunked_transfer', 15, 0, 0
'374_wayland-window', 68, 0, 0
'375_crossbeam-channel', 259, 1, 0
'376_notify', 136, 9, 0
'377_bzip2-sys', 1, 0, 0
'379_is-match', 0, 0, 0
'382_bytecount', 16, 2, 1
'383_bzip2', 91, 0, 0
'385_crypto-mac', 20, 2, 0
'389_xdg', 52, 0, 0
'391_shell32-sys', 0, 0, 0
'393_hmac', 7, 0, 0
'394_rls-blacklist', 0, 0, 0
'395_indexmap', 292, 5, 2
'397_syslog', 78, 0, 0
'399_errno', 20, 2, 0
'402_rpassword', 7, 0, 0
'404_fern', 81, 0, 0
'405_strum', 9, 0, 0
'408_objc', 177, 0, 0
'409_termios', 29, 0, 0
'410_inotify', 267, 40, 0
'415_crc16', 173, 0, 0
'418_malloc_buf', 8, 0, 0
'419_target_build_utils', 18, 0, 0
'423_h2', 994, 54, 4
'425_radix_trie', 123, 0, 0
'426_nibble_vec', 22, 0, 0
'428_conv', 625, 0, 0
'430_draw_state', 299, 17, 0
'432_endian-type', 82, 0, 0
'434_environment', 14, 0, 0
'436_libsqlite3-sys', 59, 0, 0
'437_tiny-keccak', 46, 0, 0
'438_cloudabi', 1117, 109, 0
'439_slog-term', 118, 2, 0
'441_ws', 266, 2, 0
'443_string', 22, 0, 0
'444_tokio-current-thread', 102, 2, 0
'445_procedural-masquerade', 1, 0, 0
'446_r2d2', 56, 0, 0
'447_stb_truetype', 111, 0, 0
'448_cexpr', 137, 0, 0
'450_tokio-signal', 15, 0, 0
'454_rustc-hash', 9, 2, 0
'455_c_vec', 26, 0, 0
'456_rustc-rayon-core', 193, 1, 0
'458_gfx_gl', 706, 1, 0
'459_rmp', 116, 1, 0
'462_gl', 2089, 1, 0
'465_dwmapi-sys', 0, 0, 0
'472_xmltree', 18, 0, 0
'473_hostname', 1, 0, 0
'474_parity-wasm', 756, 27, 0
'475_os_pipe', 1, 0, 0
'476_number_prefix', 21, 0, 0
'477_minifier', 4, 0, 0
'478_sequence_trie', 34, 0, 0
'479_postgres', 194, 5, 0
'483_duct', 1, 0, 0
'486_wayland-protocols', 0, 0, 0
'487_ctrlc', 10, 0, 0
'489_shared_child', 11, 0, 0
'490_csv-core', 140, 4, 0
'491_sdl2-sys', 663, 0, 0
'492_matrixmultiply', 43, 6, 1
'494_peeking_take_while', 2, 0, 0
'495_new_debug_unreachable', 0, 0, 0
'496_piston-float', 64, 0, 0
'499_chalk-macros', 13, 0, 0
