'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'002_log', "log::eq_ignore_ascii_case[0]::to_ascii_uppercase[0]", true, 7, 0, '2018-11-15 18:10:01', '2018-11-15 18:10:08', 0.0, 0.0, 0.3, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[16]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:10:08', '2018-11-15 18:10:23', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[17]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:10:23', '2018-11-15 18:10:37', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[18]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:10:37', '2018-11-15 18:10:52', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[19]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:10:52', '2018-11-15 18:11:06', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[20]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:11:06', '2018-11-15 18:11:21', 0.1, 0.0, 0.6, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[21]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:11:21', '2018-11-15 18:11:35', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[22]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:11:35', '2018-11-15 18:11:50', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[23]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:11:50', '2018-11-15 18:12:04', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[24]::mul_add_assign[0]", false, 16, 101, '2018-11-15 18:12:04', '2018-11-15 18:12:20', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[25]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:12:20', '2018-11-15 18:12:34', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[26]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:12:34', '2018-11-15 18:12:48', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[27]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:12:48', '2018-11-15 18:13:02', 0.1, 0.0, 0.4, 
'013_aho-corasick', "aho_corasick_dot::lib[0]::vec_bytes[0]", false, 36, 101, '2018-11-15 18:13:02', '2018-11-15 18:13:39', 0.0, 0.0, 0.0, 
