'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'000_libc', true, 0, 0, 0, 7, 0, '2018-11-14 21:05:58', '2018-11-14 21:06:05', 0.0, 0.0, 0.0, 1.8
'001_bitflags', true, 0, 0, 0, 3, 0, '2018-11-14 21:06:05', '2018-11-14 21:06:08', 0.0, 0.0, 0.0, 1.9
'002_log', true, 3, 3, 3, 10, 0, '2018-11-14 21:06:08', '2018-11-14 21:06:18', 0.0, 0.0, 0.3, 2.15
'003_lazy_static', true, 0, 0, 0, 10, 0, '2018-11-14 21:06:18', '2018-11-14 21:06:28', 0.0, 0.0, 0.0, 1.9
'005_winapi', true, 0, 0, 0, 207, 0, '2018-11-14 21:06:28', '2018-11-14 21:09:55', 0.0, 0.0, 0.0, 1.16
'008_num-traits', true, 51, 51, 51, 22, 0, '2018-11-14 21:09:55', '2018-11-14 21:10:18', 0.1, 0.0, 0.56, 6.4
'009_memchr', true, 8, 8, 8, 57, 0, '2018-11-14 21:10:18', '2018-11-14 21:11:15', 0.1, 0.0, 2.11, 30.7
'010_rustc-serialize', true, 1, 1, 1, 57, 0, '2018-11-14 21:11:15', '2018-11-14 21:12:12', 0.3, 0.0, 0.0, 1.30
'012_unicode-xid', true, 2, 2, 2, 5, 0, '2018-11-14 21:12:12', '2018-11-14 21:12:17', 0.0, 0.0, 0.1, 1.41
'013_aho-corasick', true, 2, 2, 2, 40, 0, '2018-11-14 21:12:17', '2018-11-14 21:12:57', 0.0, 0.0, 0.0, 1.39
'014_winapi-build', true, 0, 0, 0, 4, 0, '2018-11-14 21:12:57', '2018-11-14 21:13:01', 0.0, 0.0, 0.0, 1.14
'015_quote', true, 2, 2, 2, 26, 0, '2018-11-14 21:13:01', '2018-11-14 21:13:27', 0.0, 0.0, 0.15, 4.11
'017_thread_local', true, 1, 1, 1, 8, 0, '2018-11-14 21:13:27', '2018-11-14 21:13:35', 0.0, 0.0, 0.0, 1.22
'018_time', true, 16, 16, 16, 32, 0, '2018-11-14 21:13:35', '2018-11-14 21:14:07', 0.1, 0.0, 0.56, 13.61
'019_utf8-ranges', true, 1, 1, 1, 6, 0, '2018-11-14 21:14:07', '2018-11-14 21:14:13', 0.0, 0.0, 0.0, 1.50
'020_byteorder', true, 2, 2, 2, 7, 0, '2018-11-14 21:14:13', '2018-11-14 21:14:20', 0.1, 0.0, 0.3, 1.32
'022_cfg-if', true, 0, 0, 0, 3, 0, '2018-11-14 21:14:20', '2018-11-14 21:14:23', 0.0, 0.0, 0.0, 1.9
'023_url', true, 2, 2, 2, 152, 0, '2018-11-14 21:14:23', '2018-11-14 21:16:55', 0.2, 0.0, 0.0, 1.30
'024_num_cpus', true, 2, 2, 2, 11, 0, '2018-11-14 21:16:55', '2018-11-14 21:17:06', 0.0, 0.0, 0.0, 1.26
'025_gcc', true, 0, 0, 0, 17, 0, '2018-11-14 21:17:06', '2018-11-14 21:17:23', 0.0, 0.0, 0.0, 1.15
'026_pkg-config', true, 0, 0, 0, 9, 0, '2018-11-14 21:17:23', '2018-11-14 21:17:32', 0.0, 0.0, 0.0, 1.9
'027_semver', true, 0, 0, 0, 15, 0, '2018-11-14 21:17:32', '2018-11-14 21:17:47', 0.0, 0.0, 0.0, 1.9
