'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'002_log', "log::eq_ignore_ascii_case[0]::to_ascii_uppercase[0]", true, 7, 0, '2018-11-15 17:31:40', '2018-11-15 17:31:47', 0.0, 0.0, 0.3, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[16]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:31:48', '2018-11-15 17:32:02', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[17]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:32:02', '2018-11-15 17:32:16', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[18]::mul_add_assign[0]", false, 16, 101, '2018-11-15 17:32:16', '2018-11-15 17:32:32', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[19]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:32:32', '2018-11-15 17:32:46', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[20]::mul_add_assign[0]", false, 15, 101, '2018-11-15 17:32:46', '2018-11-15 17:33:01', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[21]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:33:01', '2018-11-15 17:33:15', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[22]::mul_add_assign[0]", false, 15, 101, '2018-11-15 17:33:15', '2018-11-15 17:33:30', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[23]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:33:30', '2018-11-15 17:33:44', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[24]::mul_add_assign[0]", false, 15, 101, '2018-11-15 17:33:44', '2018-11-15 17:33:59', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[25]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:33:59', '2018-11-15 17:34:13', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[26]::mul_add_assign[0]", false, 15, 101, '2018-11-15 17:34:13', '2018-11-15 17:34:28', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[27]::mul_add_assign[0]", false, 14, 101, '2018-11-15 17:34:28', '2018-11-15 17:34:42', 0.1, 0.0, 0.4, 
'013_aho-corasick', "aho_corasick_dot::lib[0]::vec_bytes[0]", false, 36, 101, '2018-11-15 17:34:42', '2018-11-15 17:35:18', 0.0, 0.0, 0.0, 
'018_time', "time::display[0]::is_leap_year[0]", true, 14, 0, '2018-11-15 17:35:18', '2018-11-15 17:35:32', 0.1, 0.0, 0.7, 
'018_time', "time::display[0]::iso_week_days[0]", false, 8, 101, '2018-11-15 17:35:32', '2018-11-15 17:35:40', 0.1, 0.0, 0.27, 
'018_time', "time::display[0]::abs[0]", false, 5, 101, '2018-11-15 17:35:40', '2018-11-15 17:35:45', 0.1, 0.0, 0.7, 
'018_time', "time::duration[0]::div_rem_64[0]", false, 5, 101, '2018-11-15 17:35:45', '2018-11-15 17:35:50', 0.1, 0.0, 0.8, 
'039_dtoa', "dtoa::{{impl}}[0]::write[0]::{{impl}}[1]::sub[0]", false, 6, 101, '2018-11-15 17:35:50', '2018-11-15 17:35:56', 0.0, 0.0, 0.1, 
'039_dtoa', "dtoa::{{impl}}[1]::write[0]::{{impl}}[1]::sub[0]", false, 6, 101, '2018-11-15 17:35:56', '2018-11-15 17:36:02', 0.0, 0.0, 0.1, 
'050_chrono', "chrono::offset[0]::fixed[0]::{{impl}}[0]::west_opt[0]", true, 27, 0, '2018-11-15 17:36:02', '2018-11-15 17:36:29', 0.7, 0.0, 0.3, 
'050_chrono', "chrono::naive[0]::time[0]::{{impl}}[0]::from_hms_nano_opt[0]", true, 10, 0, '2018-11-15 17:36:29', '2018-11-15 17:36:40', 0.6, 0.0, 0.29, 
'070_language-tags', "language_tags::{{impl}}[5]::fmt[0]::cmp_ignore_ascii_case[0]::byte_to_uppercase[0]", true, 8, 0, '2018-11-15 17:36:40', '2018-11-15 17:36:48', 0.0, 0.0, 0.2, 
'107_filetime', "filetime::{{impl}}[0]::from_unix_time[0]", true, 6, 0, '2018-11-15 17:36:48', '2018-11-15 17:36:54', 0.0, 0.0, 0.1, 
'108_phf_shared', "phf_shared::displace[0]", false, 5, 101, '2018-11-15 17:36:54', '2018-11-15 17:36:59', 0.0, 0.0, 0.4, 
'110_nix', "nix::sys[0]::time[0]::div_rem_64[0]", false, 76, 101, '2018-11-15 17:37:00', '2018-11-15 17:38:16', 0.11, 0.1, 0.3, 
'131_tokio-io', "tokio_io::length_delimited[0]::{{impl}}[21]::new[0]", true, 11, 0, '2018-11-15 17:38:16', '2018-11-15 17:38:27', 0.1, 0.0, 0.2, 
'152_humantime', "humantime::date[0]::is_leap_year[0]", true, 8, 0, '2018-11-15 17:38:28', '2018-11-15 17:38:36', 0.0, 0.0, 0.6, 
'187_ordermap', "ordermap::map[0]::usable_capacity[0]", true, 9, 0, '2018-11-15 17:38:37', '2018-11-15 17:38:46', 0.1, 0.0, 0.1, 
'187_ordermap', "ordermap::map[0]::to_raw_capacity[0]", false, 4, 101, '2018-11-15 17:38:46', '2018-11-15 17:38:50', 0.1, 0.0, 0.8, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[2]::add[0]", false, 17, 101, '2018-11-15 17:38:51', '2018-11-15 17:39:08', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[3]::add[0]", false, 17, 101, '2018-11-15 17:39:08', '2018-11-15 17:39:25', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[4]::add[0]", false, 18, 101, '2018-11-15 17:39:25', '2018-11-15 17:39:43', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[5]::sub[0]", false, 17, 101, '2018-11-15 17:39:43', '2018-11-15 17:40:00', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[6]::sub[0]", false, 17, 101, '2018-11-15 17:40:00', '2018-11-15 17:40:17', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[7]::add_assign[0]", false, 18, 101, '2018-11-15 17:40:17', '2018-11-15 17:40:35', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[8]::sub_assign[0]", false, 17, 101, '2018-11-15 17:40:35', '2018-11-15 17:40:52', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[9]::add_assign[0]", false, 17, 101, '2018-11-15 17:40:52', '2018-11-15 17:41:09', 0.1, 0.0, 0.4, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[10]::sub_assign[0]", false, 17, 101, '2018-11-15 17:41:09', '2018-11-15 17:41:26', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::millis[0]", true, 18, 0, '2018-11-15 17:41:26', '2018-11-15 17:41:44', 0.1, 0.0, 0.0, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::seconds[0]", true, 4, 0, '2018-11-15 17:41:44', '2018-11-15 17:41:48', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::minutes[0]", true, 5, 0, '2018-11-15 17:41:48', '2018-11-15 17:41:53', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::hours[0]", true, 5, 0, '2018-11-15 17:41:53', '2018-11-15 17:41:58', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_millis[0]", false, 5, 101, '2018-11-15 17:41:58', '2018-11-15 17:42:03', 0.1, 0.0, 0.4, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_seconds[0]", false, 5, 101, '2018-11-15 17:42:03', '2018-11-15 17:42:08', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_minutes[0]", false, 4, 101, '2018-11-15 17:42:08', '2018-11-15 17:42:12', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_hours[0]", false, 5, 101, '2018-11-15 17:42:12', '2018-11-15 17:42:17', 0.1, 0.0, 0.4, 
'209_fixedbitset', "fixedbitset::div_rem[0]", false, 6, 101, '2018-11-15 17:42:17', '2018-11-15 17:42:23', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[3]::zero_indexed[0]", false, 8, 101, '2018-11-15 17:42:23', '2018-11-15 17:42:31', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[4]::one_indexed[0]", false, 8, 101, '2018-11-15 17:42:31', '2018-11-15 17:42:39', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[8]::zero_indexed[0]", false, 8, 101, '2018-11-15 17:42:39', '2018-11-15 17:42:47', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[9]::one_indexed[0]", false, 8, 101, '2018-11-15 17:42:47', '2018-11-15 17:42:55', 0.0, 0.0, 0.1, 
'286_ryu', "ryu::d2s_intrinsics[0]::div5[0]", true, 7, 0, '2018-11-15 17:42:55', '2018-11-15 17:43:02', 0.0, 0.0, 0.0, 
'286_ryu', "ryu::d2s_intrinsics[0]::div10[0]", true, 4, 0, '2018-11-15 17:43:02', '2018-11-15 17:43:06', 0.0, 0.0, 0.2, 
'286_ryu', "ryu::d2s_intrinsics[0]::div100[0]", true, 4, 0, '2018-11-15 17:43:06', '2018-11-15 17:43:10', 0.0, 0.0, 0.2, 
