"Crate name","Successful verification","Whitelist items","Verified items","Successful items","Duration (s)","Exit status","Start","End","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"000_libc",true,0,0,0,8,0,"2018-11-16 03:24:38","2018-11-16 03:24:46",0.0,0.0,0.0,1.50
"001_bitflags",true,0,0,0,4,0,"2018-11-16 03:24:46","2018-11-16 03:24:50",0.0,0.0,0.0,1.42
"002_log",true,3,3,3,11,0,"2018-11-16 03:24:50","2018-11-16 03:25:01",0.0,0.0,0.3,2.35
"003_lazy_static",true,0,0,0,12,0,"2018-11-16 03:25:01","2018-11-16 03:25:13",0.0,0.0,0.0,1.46
"005_winapi",true,0,0,0,215,0,"2018-11-16 03:25:13","2018-11-16 03:28:48",0.0,0.0,0.0,1.40
"008_num-traits",true,51,51,51,22,0,"2018-11-16 03:28:48","2018-11-16 03:29:10",0.1,0.0,0.55,5.8
"009_memchr",true,8,8,8,34,0,"2018-11-16 03:29:10","2018-11-16 03:29:44",0.1,0.0,2.18,11.77
"010_rustc-serialize",true,1,1,1,56,0,"2018-11-16 03:29:44","2018-11-16 03:30:40",0.2,0.0,0.0,1.65
"012_unicode-xid",true,2,2,2,6,0,"2018-11-16 03:30:40","2018-11-16 03:30:46",0.0,0.0,0.0,1.76
"013_aho-corasick",true,2,2,2,37,0,"2018-11-16 03:30:46","2018-11-16 03:31:23",0.0,0.0,0.0,1.81
"014_winapi-build",true,0,0,0,4,0,"2018-11-16 03:31:23","2018-11-16 03:31:27",0.0,0.0,0.0,1.42
"015_quote",true,2,2,2,24,0,"2018-11-16 03:31:27","2018-11-16 03:31:51",0.0,0.0,0.13,3.31
"017_thread_local",true,1,1,1,9,0,"2018-11-16 03:31:51","2018-11-16 03:32:00",0.0,0.0,0.0,1.63
"018_time",true,16,16,16,27,0,"2018-11-16 03:32:00","2018-11-16 03:32:27",0.1,0.0,0.57,7.55
"019_utf8-ranges",true,1,1,1,6,0,"2018-11-16 03:32:27","2018-11-16 03:32:34",0.0,0.0,0.0,1.94
"020_byteorder",true,2,2,2,8,0,"2018-11-16 03:32:34","2018-11-16 03:32:42",0.1,0.0,0.3,1.63
"022_cfg-if",true,0,0,0,3,0,"2018-11-16 03:32:42","2018-11-16 03:32:45",0.0,0.0,0.0,1.40
"023_url",true,2,2,2,137,0,"2018-11-16 03:32:45","2018-11-16 03:35:04",0.2,0.0,0.1,1.65
"024_num_cpus",true,2,2,2,12,0,"2018-11-16 03:35:04","2018-11-16 03:35:16",0.0,0.0,0.0,1.61
"025_gcc",true,0,0,0,17,0,"2018-11-16 03:35:16","2018-11-16 03:35:33",0.0,0.0,0.0,1.40
"026_pkg-config",true,0,0,0,8,0,"2018-11-16 03:35:33","2018-11-16 03:35:41",0.0,0.0,0.0,1.56
"027_semver",true,0,0,0,16,0,"2018-11-16 03:35:41","2018-11-16 03:35:57",0.0,0.0,0.0,1.42
"028_itoa",true,0,0,0,6,0,"2018-11-16 03:35:57","2018-11-16 03:36:03",0.0,0.0,0.0,1.42
"029_matches",true,0,0,0,4,0,"2018-11-16 03:36:03","2018-11-16 03:36:07",0.0,0.0,0.0,1.39
"032_num-integer",true,0,0,0,25,0,"2018-11-16 03:36:07","2018-11-16 03:36:32",0.0,0.0,0.0,1.43
"033_unicode-normalization",true,0,0,0,96,0,"2018-11-16 03:36:32","2018-11-16 03:38:08",0.7,0.0,0.0,1.41
"034_strsim",true,0,0,0,5,0,"2018-11-16 03:38:08","2018-11-16 03:38:14",0.0,0.0,0.0,1.43
"035_void",true,1,1,1,4,0,"2018-11-16 03:38:14","2018-11-16 03:38:18",0.0,0.0,0.0,1.57
"036_unicode-bidi",true,1,1,1,15,0,"2018-11-16 03:38:18","2018-11-16 03:38:33",0.1,0.0,0.0,1.80
"037_num",true,0,0,0,64,0,"2018-11-16 03:38:33","2018-11-16 03:39:37",0.0,0.0,0.0,1.38
"038_unreachable",true,0,0,0,8,0,"2018-11-16 03:39:37","2018-11-16 03:39:45",0.0,0.0,0.0,1.46
"039_dtoa",true,4,4,4,7,0,"2018-11-16 03:39:45","2018-11-16 03:39:52",0.0,0.0,0.17,3.38
"041_idna",true,0,0,0,115,0,"2018-11-16 03:39:52","2018-11-16 03:41:47",0.0,0.0,0.0,1.34
"042_clap",true,73,73,73,134,0,"2018-11-16 03:41:47","2018-11-16 03:44:02",0.8,0.0,0.41,5.27
"043_openssl-sys",true,0,0,0,30,0,"2018-11-16 03:44:02","2018-11-16 03:44:32",0.2,0.0,0.0,1.40
"044_num-iter",true,0,0,0,31,0,"2018-11-16 03:44:32","2018-11-16 03:45:03",0.0,0.0,0.0,1.39
"045_ansi_term",true,8,8,8,34,0,"2018-11-16 03:45:03","2018-11-16 03:45:37",0.0,0.0,3.9,23.1
"046_unicase",true,0,0,0,15,0,"2018-11-16 03:45:37","2018-11-16 03:45:52",0.1,0.0,0.0,1.48
"048_mime",true,1,1,1,22,0,"2018-11-16 03:45:52","2018-11-16 03:46:14",0.0,0.0,0.1,1.78
"049_vec_map",true,1,1,1,5,0,"2018-11-16 03:46:14","2018-11-16 03:46:19",0.0,0.0,0.0,1.49
"050_chrono",true,13,13,13,69,0,"2018-11-16 03:46:19","2018-11-16 03:47:28",0.6,0.0,0.72,14.87
"051_unicode-width",true,2,2,2,6,0,"2018-11-16 03:47:28","2018-11-16 03:47:34",0.0,0.0,0.0,1.83
"052_slab",true,0,0,0,4,0,"2018-11-16 03:47:34","2018-11-16 03:47:38",0.0,0.0,0.0,1.48
"053_cc",true,0,0,0,20,0,"2018-11-16 03:47:38","2018-11-16 03:47:58",0.0,0.0,0.0,1.40
"054_term",true,0,0,0,18,0,"2018-11-16 03:47:58","2018-11-16 03:48:16",0.1,0.0,0.0,1.37
"055_thread-id",true,1,1,1,12,0,"2018-11-16 03:48:16","2018-11-16 03:48:28",0.0,0.0,0.0,1.65
"056_atty",true,1,1,1,12,0,"2018-11-16 03:48:28","2018-11-16 03:48:40",0.0,0.0,0.0,1.74
"057_openssl",true,149,149,149,88,0,"2018-11-16 03:48:40","2018-11-16 03:50:08",0.8,0.0,1.23,9.54
"058_backtrace",true,1,1,1,32,0,"2018-11-16 03:50:08","2018-11-16 03:50:40",0.0,0.0,0.3,1.82
"059_tempdir",true,0,0,0,28,0,"2018-11-16 03:50:40","2018-11-16 03:51:08",0.0,0.0,0.0,1.45
"060_httparse",true,1,1,1,15,0,"2018-11-16 03:51:08","2018-11-16 03:51:23",0.0,0.0,0.1,1.81
"061_rustc_version",true,0,0,0,24,0,"2018-11-16 03:51:23","2018-11-16 03:51:47",0.0,0.0,0.0,1.42
"062_error-chain",true,0,0,0,42,0,"2018-11-16 03:51:47","2018-11-16 03:52:29",0.0,0.0,0.0,1.38
"063_smallvec",true,36,36,36,15,0,"2018-11-16 03:52:29","2018-11-16 03:52:44",0.0,0.0,0.7,2.45
"065_rustc-demangle",true,0,0,0,6,0,"2018-11-16 03:52:44","2018-11-16 03:52:50",0.0,0.0,0.0,1.38
"066_proc-macro2",true,2,2,2,18,0,"2018-11-16 03:52:50","2018-11-16 03:53:08",0.1,0.0,0.0,1.56
"067_base64",true,0,0,0,17,0,"2018-11-16 03:53:08","2018-11-16 03:53:25",0.1,0.0,0.0,1.44
"068_uuid",true,1,1,1,12,0,"2018-11-16 03:53:25","2018-11-16 03:53:37",0.0,0.0,0.0,1.90
"069_net2",true,26,26,26,16,0,"2018-11-16 03:53:37","2018-11-16 03:53:53",0.1,0.0,0.6,2.43
"070_language-tags",true,1,1,1,8,0,"2018-11-16 03:53:53","2018-11-16 03:54:01",0.0,0.0,0.1,1.98
"071_percent-encoding",true,0,0,0,5,0,"2018-11-16 03:54:01","2018-11-16 03:54:06",0.0,0.0,0.0,1.35
"072_traitobject",true,0,0,0,4,0,"2018-11-16 03:54:06","2018-11-16 03:54:10",0.0,0.0,0.0,1.43
"073_backtrace-sys",true,0,0,0,24,0,"2018-11-16 03:54:10","2018-11-16 03:54:34",0.0,0.0,0.0,1.40
"074_futures",true,4,4,4,27,0,"2018-11-16 03:54:34","2018-11-16 03:55:01",0.5,0.0,0.3,1.94
"075_lazycell",true,0,0,0,4,0,"2018-11-16 03:55:01","2018-11-16 03:55:05",0.0,0.0,0.0,1.39
"077_quick-error",true,0,0,0,4,0,"2018-11-16 03:55:05","2018-11-16 03:55:09",0.0,0.0,0.0,1.42
"078_crossbeam",true,0,0,0,102,0,"2018-11-16 03:55:09","2018-11-16 03:56:51",0.0,0.0,0.0,1.77
"079_flate2",true,13,13,13,35,0,"2018-11-16 03:56:51","2018-11-16 03:57:26",0.2,0.0,0.3,2.28
"081_mio",true,36,36,36,39,0,"2018-11-16 03:57:26","2018-11-16 03:58:06",0.3,0.0,0.36,5.64
"082_textwrap",true,0,0,0,11,0,"2018-11-16 03:58:06","2018-11-16 03:58:17",0.0,0.0,0.0,1.47
"083_scopeguard",true,1,1,1,4,0,"2018-11-16 03:58:17","2018-11-16 03:58:21",0.0,0.0,0.0,1.59
"084_bytes",true,2,2,2,23,0,"2018-11-16 03:58:21","2018-11-16 03:58:44",0.1,0.0,0.3,1.74
"086_getopts",true,0,0,0,13,0,"2018-11-16 03:58:44","2018-11-16 03:58:57",0.0,0.0,0.0,1.45
"087_nodrop",true,0,0,0,4,0,"2018-11-16 03:58:57","2018-11-16 03:59:01",0.0,0.0,0.0,1.44
"088_glob",true,1,1,1,10,0,"2018-11-16 03:59:01","2018-11-16 03:59:11",0.0,0.0,0.0,1.83
"089_either",true,0,0,0,5,0,"2018-11-16 03:59:11","2018-11-16 03:59:16",0.0,0.0,0.0,1.38
"090_typeable",true,0,0,0,4,0,"2018-11-16 03:59:16","2018-11-16 03:59:20",0.0,0.0,0.0,1.40
"091_miniz-sys",true,0,0,0,24,0,"2018-11-16 03:59:20","2018-11-16 03:59:44",0.0,0.0,0.0,1.43
"092_walkdir",true,0,0,0,10,0,"2018-11-16 03:59:44","2018-11-16 03:59:54",0.0,0.0,0.0,1.42
"093_unicode-segmentation",true,5,5,5,16,0,"2018-11-16 03:59:54","2018-11-16 04:00:10",0.2,0.0,0.29,5.20
"094_fnv",true,2,2,2,4,0,"2018-11-16 04:00:10","2018-11-16 04:00:14",0.0,0.0,0.0,1.71
"095_num-rational",true,0,0,0,55,0,"2018-11-16 04:00:14","2018-11-16 04:01:09",0.0,0.0,0.0,1.43
"096_libz-sys",true,0,0,0,26,0,"2018-11-16 04:01:09","2018-11-16 04:01:35",0.0,0.0,0.0,1.39
"097_version_check",true,0,0,0,5,0,"2018-11-16 04:01:35","2018-11-16 04:01:40",0.0,0.0,0.0,1.44
"098_crossbeam-utils",true,0,0,0,4,0,"2018-11-16 04:01:40","2018-11-16 04:01:44",0.0,0.0,0.0,1.40
"099_semver-parser",true,0,0,0,15,0,"2018-11-16 04:01:44","2018-11-16 04:01:59",0.0,0.0,0.0,1.50
"101_arrayvec",true,58,58,58,13,0,"2018-11-16 04:01:59","2018-11-16 04:02:12",0.0,0.0,0.10,2.93
"102_scoped-tls",true,0,0,0,4,0,"2018-11-16 04:02:12","2018-11-16 04:02:16",0.0,0.0,0.0,1.40
"103_crossbeam-epoch",true,0,0,0,25,0,"2018-11-16 04:02:16","2018-11-16 04:02:41",0.1,0.0,0.0,1.40
"104_num-bigint",true,3,3,3,46,0,"2018-11-16 04:02:41","2018-11-16 04:03:27",0.2,0.0,0.2,1.95
"105_cmake",true,0,0,0,22,0,"2018-11-16 04:03:27","2018-11-16 04:03:49",0.0,0.0,0.0,1.38
"106_foreign-types",true,0,0,0,8,0,"2018-11-16 04:03:49","2018-11-16 04:03:57",0.0,0.0,0.0,1.46
"107_filetime",true,2,2,2,13,0,"2018-11-16 04:03:57","2018-11-16 04:04:10",0.0,0.0,0.1,1.91
"108_phf_shared",true,1,1,1,12,0,"2018-11-16 04:04:10","2018-11-16 04:04:22",0.0,0.0,0.2,2.14
"109_phf",true,0,0,0,15,0,"2018-11-16 04:04:22","2018-11-16 04:04:37",0.0,0.0,0.0,1.44
"110_nix",true,523,523,523,107,0,"2018-11-16 04:04:37","2018-11-16 04:06:24",0.13,0.1,3.20,16.91
"111_num-complex",true,0,0,0,30,0,"2018-11-16 04:06:24","2018-11-16 04:06:54",0.1,0.0,0.0,1.43
"112_iovec",true,0,0,0,11,0,"2018-11-16 04:06:54","2018-11-16 04:07:05",0.0,0.0,0.0,1.38
"113_termcolor",true,6,6,6,11,0,"2018-11-16 04:07:05","2018-11-16 04:07:16",0.0,0.0,0.23,3.68
"114_phf_generator",true,0,0,0,39,0,"2018-11-16 04:07:16","2018-11-16 04:07:55",0.0,0.0,0.0,1.41
"115_miow",true,0,0,0,210,0,"2018-11-16 04:07:55","2018-11-16 04:11:25",0.1,0.0,0.0,1.43
"117_phf_codegen",true,1,1,1,44,0,"2018-11-16 04:11:25","2018-11-16 04:12:09",0.0,0.0,0.0,1.52
"118_safemem",true,0,0,0,4,0,"2018-11-16 04:12:09","2018-11-16 04:12:13",0.0,0.0,0.0,1.39
"119_cookie",true,1,1,1,28,0,"2018-11-16 04:12:13","2018-11-16 04:12:41",0.0,0.0,0.0,2.6
"120_crossbeam-deque",true,0,0,0,31,0,"2018-11-16 04:12:41","2018-11-16 04:13:12",0.0,0.0,0.0,1.42
"122_same-file",true,1,1,1,5,0,"2018-11-16 04:13:12","2018-11-16 04:13:17",0.0,0.0,0.4,2.13
"124_ucd-util",true,0,0,0,5,0,"2018-11-16 04:13:17","2018-11-16 04:13:22",0.0,0.0,0.0,1.45
"125_siphasher",true,12,12,12,9,0,"2018-11-16 04:13:22","2018-11-16 04:13:31",0.0,0.0,0.14,3.31
"126_curl-sys",true,0,0,0,38,0,"2018-11-16 04:13:31","2018-11-16 04:14:09",0.0,0.0,0.0,1.38
"127_xml-rs",true,0,0,0,24,0,"2018-11-16 04:14:09","2018-11-16 04:14:33",0.0,0.0,0.0,1.46
"128_rayon-core",true,1,1,1,43,0,"2018-11-16 04:14:33","2018-11-16 04:15:16",0.1,0.0,0.0,1.56
"129_pulldown-cmark",true,0,0,0,42,0,"2018-11-16 04:15:16","2018-11-16 04:15:58",0.0,0.0,0.0,1.43
"130_linked-hash-map",true,0,0,0,5,0,"2018-11-16 04:15:58","2018-11-16 04:16:03",0.0,0.0,0.0,1.43
"131_tokio-io",true,11,11,11,44,0,"2018-11-16 04:16:03","2018-11-16 04:16:47",0.1,0.0,0.45,3.77
"132_curl",true,8,8,8,55,0,"2018-11-16 04:16:47","2018-11-16 04:17:43",0.2,0.0,0.3,2.32
"133_parking_lot",true,2,2,2,62,0,"2018-11-16 04:17:43","2018-11-16 04:18:45",0.1,0.0,0.0,1.65
"134_hex",true,0,0,0,16,0,"2018-11-16 04:18:45","2018-11-16 04:19:01",0.0,0.0,0.0,1.47
"135_term_size",true,0,0,0,11,0,"2018-11-16 04:19:01","2018-11-16 04:19:12",0.0,0.0,0.0,1.45
"137_memoffset",true,0,0,0,4,0,"2018-11-16 04:19:12","2018-11-16 04:19:16",0.0,0.0,0.0,1.40
"138_owning_ref",true,0,0,0,8,0,"2018-11-16 04:19:16","2018-11-16 04:19:24",0.0,0.0,0.0,1.41
"140_parking_lot_core",true,4,4,4,49,0,"2018-11-16 04:19:24","2018-11-16 04:20:13",0.0,0.0,0.1,1.82
"141_stable_deref_trait",true,0,0,0,4,0,"2018-11-16 04:20:13","2018-11-16 04:20:17",0.0,0.0,0.0,1.46
"143_tempfile",true,0,0,0,40,0,"2018-11-16 04:20:17","2018-11-16 04:20:57",0.0,0.0,0.0,1.40
"144_fs2",true,0,0,0,11,0,"2018-11-16 04:20:57","2018-11-16 04:21:08",0.0,0.0,0.0,1.39
"145_libgit2-sys",true,2,2,2,44,0,"2018-11-16 04:21:08","2018-11-16 04:21:53",0.1,0.0,0.0,1.53
"146_yaml-rust",true,10,10,10,26,0,"2018-11-16 04:21:53","2018-11-16 04:22:19",0.1,0.0,0.16,4.11
"147_git2",true,134,134,134,229,0,"2018-11-16 04:22:19","2018-11-16 04:26:08",0.7,0.0,1.24,8.29
"148_nom",true,12,12,12,39,0,"2018-11-16 04:26:08","2018-11-16 04:26:48",0.6,0.0,0.28,4.21
"149_openssl-probe",true,0,0,0,4,0,"2018-11-16 04:26:48","2018-11-16 04:26:52",0.0,0.0,0.0,1.43
"150_remove_dir_all",true,0,0,0,4,0,"2018-11-16 04:26:52","2018-11-16 04:26:56",0.0,0.0,0.0,1.39
"151_tar",true,8,8,8,32,0,"2018-11-16 04:26:56","2018-11-16 04:27:28",0.1,0.0,0.2,1.90
"152_humantime",true,9,9,9,15,0,"2018-11-16 04:27:28","2018-11-16 04:27:43",0.0,0.0,0.11,4.17
"154_redox_syscall",true,4,4,4,8,0,"2018-11-16 04:27:43","2018-11-16 04:27:51",0.1,0.0,0.3,2.3
"155_libssh2-sys",true,1,1,1,37,0,"2018-11-16 04:27:51","2018-11-16 04:28:28",0.0,0.0,0.0,1.62
"156_foreign-types-shared",true,0,0,0,4,0,"2018-11-16 04:28:28","2018-11-16 04:28:32",0.0,0.0,0.0,1.40
"157_futures-cpupool",true,0,0,0,31,0,"2018-11-16 04:28:32","2018-11-16 04:29:03",0.0,0.0,0.0,1.42
