"Crate name","Successful cleanup","Successful compilation","Duration (s)","Exit status","Start","End"
"000_libc",true,true,3,0,"2018-11-13 18:20:45","2018-11-13 18:20:48"
"001_bitflags",true,true,0,0,"2018-11-13 18:20:48","2018-11-13 18:20:48"
"002_log",true,true,3,0,"2018-11-13 18:20:48","2018-11-13 18:20:51"
"003_lazy_static",true,true,1,0,"2018-11-13 18:20:51","2018-11-13 18:20:52"
"004_serde",true,false,70,101,"2018-11-13 18:20:52","2018-11-13 18:22:02"
"005_winapi",true,true,194,0,"2018-11-13 18:22:02","2018-11-13 18:25:16"
"006_regex",true,false,900,124,"2018-11-13 18:25:16","2018-11-13 18:40:16"
"007_regex-syntax",true,false,900,124,"2018-11-13 18:40:16","2018-11-13 18:55:16"
"008_num-traits",true,true,7,0,"2018-11-13 18:55:16","2018-11-13 18:55:23"
"009_memchr",true,true,6,0,"2018-11-13 18:55:23","2018-11-13 18:55:29"
"010_rustc-serialize",true,true,42,0,"2018-11-13 18:55:29","2018-11-13 18:56:11"
"011_syn",true,false,28,101,"2018-11-13 18:56:11","2018-11-13 18:56:39"
"012_unicode-xid",true,true,0,0,"2018-11-13 18:56:39","2018-11-13 18:56:39"
"013_aho-corasick",true,true,14,0,"2018-11-13 18:56:39","2018-11-13 18:56:53"
"014_winapi-build",true,true,0,0,"2018-11-13 18:56:53","2018-11-13 18:56:53"
"015_quote",true,true,8,0,"2018-11-13 18:56:53","2018-11-13 18:57:01"
"016_kernel32-sys",true,false,0,101,"2018-11-13 18:57:01","2018-11-13 18:57:01"
"017_thread_local",true,true,1,0,"2018-11-13 18:57:01","2018-11-13 18:57:02"
"018_time",true,true,9,0,"2018-11-13 18:57:02","2018-11-13 18:57:11"
"019_utf8-ranges",true,true,2,0,"2018-11-13 18:57:11","2018-11-13 18:57:13"
"020_byteorder",true,true,3,0,"2018-11-13 18:57:13","2018-11-13 18:57:16"
"021_serde_json",true,false,68,101,"2018-11-13 18:57:16","2018-11-13 18:58:24"
"022_cfg-if",true,true,0,0,"2018-11-13 18:58:24","2018-11-13 18:58:24"
"023_url",true,true,104,0,"2018-11-13 18:58:24","2018-11-13 19:00:08"
"024_num_cpus",true,true,2,0,"2018-11-13 19:00:08","2018-11-13 19:00:10"
"025_gcc",true,true,9,0,"2018-11-13 19:00:10","2018-11-13 19:00:19"
"026_pkg-config",true,true,3,0,"2018-11-13 19:00:19","2018-11-13 19:00:22"
"027_semver",true,true,8,0,"2018-11-13 19:00:22","2018-11-13 19:00:30"
"028_itoa",true,true,2,0,"2018-11-13 19:00:30","2018-11-13 19:00:32"
"029_matches",true,true,0,0,"2018-11-13 19:00:32","2018-11-13 19:00:32"
"030_serde_derive",true,false,28,101,"2018-11-13 19:00:32","2018-11-13 19:01:00"
"031_env_logger",true,false,900,124,"2018-11-13 19:01:00","2018-11-13 19:16:00"
"032_num-integer",true,true,10,0,"2018-11-13 19:16:00","2018-11-13 19:16:10"
"033_unicode-normalization",true,true,83,0,"2018-11-13 19:16:10","2018-11-13 19:17:33"
"034_strsim",true,true,2,0,"2018-11-13 19:17:33","2018-11-13 19:17:35"
"035_void",true,true,0,0,"2018-11-13 19:17:35","2018-11-13 19:17:35"
"036_unicode-bidi",true,true,6,0,"2018-11-13 19:17:35","2018-11-13 19:17:41"
"037_num",true,true,24,0,"2018-11-13 19:17:41","2018-11-13 19:18:05"
"038_unreachable",true,true,0,0,"2018-11-13 19:18:05","2018-11-13 19:18:05"
"039_dtoa",true,true,1,0,"2018-11-13 19:18:05","2018-11-13 19:18:06"
"040_toml",true,false,67,101,"2018-11-13 19:18:06","2018-11-13 19:19:13"
"041_idna",true,true,90,0,"2018-11-13 19:19:13","2018-11-13 19:20:43"
"042_clap",true,true,98,0,"2018-11-13 19:20:43","2018-11-13 19:22:21"
"043_openssl-sys",true,true,14,0,"2018-11-13 19:22:21","2018-11-13 19:22:35"
"044_num-iter",true,true,10,0,"2018-11-13 19:22:35","2018-11-13 19:22:45"
"045_ansi_term",true,true,4,0,"2018-11-13 19:22:45","2018-11-13 19:22:49"
"046_unicase",true,true,3,0,"2018-11-13 19:22:49","2018-11-13 19:22:52"
"047_hyper",true,false,107,101,"2018-11-13 19:22:52","2018-11-13 19:24:39"
"048_mime",true,true,5,0,"2018-11-13 19:24:39","2018-11-13 19:24:44"
"049_vec_map",true,true,1,0,"2018-11-13 19:24:44","2018-11-13 19:24:45"
"050_chrono",true,true,28,0,"2018-11-13 19:24:45","2018-11-13 19:25:13"
"051_unicode-width",true,true,1,0,"2018-11-13 19:25:13","2018-11-13 19:25:14"
"052_slab",true,true,1,0,"2018-11-13 19:25:14","2018-11-13 19:25:15"
"053_cc",true,true,10,0,"2018-11-13 19:25:15","2018-11-13 19:25:25"
"054_term",true,true,9,0,"2018-11-13 19:25:25","2018-11-13 19:25:34"
"055_thread-id",true,true,2,0,"2018-11-13 19:25:34","2018-11-13 19:25:36"
"056_atty",true,true,2,0,"2018-11-13 19:25:36","2018-11-13 19:25:38"
"057_openssl",true,true,40,0,"2018-11-13 19:25:38","2018-11-13 19:26:18"
"058_backtrace",true,true,12,0,"2018-11-13 19:26:18","2018-11-13 19:26:31"
"059_tempdir",true,true,10,0,"2018-11-13 19:26:31","2018-11-13 19:26:41"
"060_httparse",true,true,6,0,"2018-11-13 19:26:41","2018-11-13 19:26:47"
"061_rustc_version",true,true,12,0,"2018-11-13 19:26:47","2018-11-13 19:26:59"
"062_error-chain",true,true,15,0,"2018-11-13 19:26:59","2018-11-13 19:27:14"
"063_smallvec",true,true,2,0,"2018-11-13 19:27:14","2018-11-13 19:27:16"
"064_synom",true,false,2,101,"2018-11-13 19:27:16","2018-11-13 19:27:18"
"065_rustc-demangle",true,true,3,0,"2018-11-13 19:27:18","2018-11-13 19:27:21"
"066_proc-macro2",true,true,7,0,"2018-11-13 19:27:21","2018-11-13 19:27:28"
"067_base64",true,true,7,0,"2018-11-13 19:27:28","2018-11-13 19:27:35"
"068_uuid",true,true,6,0,"2018-11-13 19:27:35","2018-11-13 19:27:41"
"069_net2",true,true,4,0,"2018-11-13 19:27:41","2018-11-13 19:27:45"
"070_language-tags",true,true,4,0,"2018-11-13 19:27:45","2018-11-13 19:27:49"
"071_percent-encoding",true,true,1,0,"2018-11-13 19:27:49","2018-11-13 19:27:50"
"072_traitobject",true,true,0,0,"2018-11-13 19:27:50","2018-11-13 19:27:50"
"073_backtrace-sys",true,true,11,0,"2018-11-13 19:27:50","2018-11-13 19:28:01"
"074_futures",true,true,17,0,"2018-11-13 19:28:01","2018-11-13 19:28:18"
"075_lazycell",true,true,1,0,"2018-11-13 19:28:18","2018-11-13 19:28:19"
"076_serde_derive_internals",true,false,20,101,"2018-11-13 19:28:19","2018-11-13 19:28:39"
"077_quick-error",true,true,1,0,"2018-11-13 19:28:39","2018-11-13 19:28:40"
"078_crossbeam",true,true,31,0,"2018-11-13 19:28:40","2018-11-13 19:29:11"
"079_flate2",true,true,16,0,"2018-11-13 19:29:11","2018-11-13 19:29:27"
"080_itertools",true,false,7,101,"2018-11-13 19:29:27","2018-11-13 19:29:34"
"081_mio",true,true,13,0,"2018-11-13 19:29:34","2018-11-13 19:29:47"
"082_textwrap",true,true,3,0,"2018-11-13 19:29:47","2018-11-13 19:29:50"
"083_scopeguard",true,true,0,0,"2018-11-13 19:29:50","2018-11-13 19:29:50"
"084_bytes",true,true,8,0,"2018-11-13 19:29:50","2018-11-13 19:29:58"
"085_syntex_syntax",true,false,31,101,"2018-11-13 19:29:58","2018-11-13 19:30:29"
"086_getopts",true,true,4,0,"2018-11-13 19:30:29","2018-11-13 19:30:33"
