'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'002_log', "log::eq_ignore_ascii_case[0]::to_ascii_uppercase[0]", true, 7, 0, '2018-11-15 18:26:10', '2018-11-15 18:26:17', 0.0, 0.0, 0.3, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[16]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:26:17', '2018-11-15 18:26:32', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[17]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:26:32', '2018-11-15 18:26:46', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[18]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:26:46', '2018-11-15 18:27:01', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[19]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:27:01', '2018-11-15 18:27:15', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[20]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:27:15', '2018-11-15 18:27:30', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[21]::mul_add_assign[0]", false, 13, 101, '2018-11-15 18:27:30', '2018-11-15 18:27:43', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[22]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:27:43', '2018-11-15 18:27:59', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[23]::mul_add_assign[0]", false, 13, 101, '2018-11-15 18:27:59', '2018-11-15 18:28:12', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[24]::mul_add_assign[0]", false, 16, 101, '2018-11-15 18:28:12', '2018-11-15 18:28:28', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[25]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:28:28', '2018-11-15 18:28:42', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[26]::mul_add_assign[0]", false, 15, 101, '2018-11-15 18:28:42', '2018-11-15 18:28:57', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[27]::mul_add_assign[0]", false, 14, 101, '2018-11-15 18:28:57', '2018-11-15 18:29:11', 0.1, 0.0, 0.4, 
'013_aho-corasick', "aho_corasick_dot::lib[0]::vec_bytes[0]", false, 36, 101, '2018-11-15 18:29:11', '2018-11-15 18:29:47', 0.0, 0.0, 0.0, 
'018_time', "time::display[0]::is_leap_year[0]", true, 15, 0, '2018-11-15 18:29:47', '2018-11-15 18:30:02', 0.1, 0.0, 0.7, 
'018_time', "time::display[0]::iso_week_days[0]", false, 7, 101, '2018-11-15 18:30:02', '2018-11-15 18:30:09', 0.1, 0.0, 0.28, 
'018_time', "time::display[0]::abs[0]", false, 4, 101, '2018-11-15 18:30:09', '2018-11-15 18:30:14', 0.1, 0.0, 0.5, 
'018_time', "time::duration[0]::div_rem_64[0]", false, 5, 101, '2018-11-15 18:30:14', '2018-11-15 18:30:19', 0.1, 0.0, 0.7, 
'039_dtoa', "dtoa::{{impl}}[0]::write[0]::{{impl}}[1]::sub[0]", false, 6, 101, '2018-11-15 18:30:19', '2018-11-15 18:30:25', 0.0, 0.0, 0.2, 
'039_dtoa', "dtoa::{{impl}}[1]::write[0]::{{impl}}[1]::sub[0]", false, 6, 101, '2018-11-15 18:30:25', '2018-11-15 18:30:31', 0.0, 0.0, 0.1, 
'050_chrono', "chrono::offset[0]::fixed[0]::{{impl}}[0]::west_opt[0]", true, 28, 0, '2018-11-15 18:30:31', '2018-11-15 18:30:59', 0.7, 0.0, 0.3, 
'050_chrono', "chrono::naive[0]::time[0]::{{impl}}[0]::from_hms_nano_opt[0]", true, 10, 0, '2018-11-15 18:30:59', '2018-11-15 18:31:09', 0.6, 0.0, 0.29, 
'070_language-tags', "language_tags::{{impl}}[5]::fmt[0]::cmp_ignore_ascii_case[0]::byte_to_uppercase[0]", true, 8, 0, '2018-11-15 18:31:09', '2018-11-15 18:31:18', 0.0, 0.0, 0.1, 
'107_filetime', "filetime::{{impl}}[0]::from_unix_time[0]", true, 6, 0, '2018-11-15 18:31:18', '2018-11-15 18:31:24', 0.0, 0.0, 0.2, 
'108_phf_shared', "phf_shared::displace[0]", false, 5, 101, '2018-11-15 18:31:24', '2018-11-15 18:31:29', 0.0, 0.0, 0.2, 
'110_nix', "nix::sys[0]::time[0]::div_rem_64[0]", false, 75, 101, '2018-11-15 18:31:30', '2018-11-15 18:32:45', 0.11, 0.1, 0.3, 
