'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'000_libc', true, 0, 0, 0, 8, 0, '2018-11-15 08:02:50', '2018-11-15 08:02:59', 0.0, 0.0, 0.0, 1.22
'001_bitflags', true, 0, 0, 0, 3, 0, '2018-11-15 08:02:59', '2018-11-15 08:03:02', 0.0, 0.0, 0.0, 1.9
'002_log', true, 3, 3, 3, 9, 0, '2018-11-15 08:03:02', '2018-11-15 08:03:11', 0.0, 0.0, 0.3, 2.27
'003_lazy_static', true, 0, 0, 0, 10, 0, '2018-11-15 08:03:11', '2018-11-15 08:03:21', 0.0, 0.0, 0.0, 1.13
'005_winapi', true, 0, 0, 0, 208, 0, '2018-11-15 08:03:21', '2018-11-15 08:06:49', 0.0, 0.0, 0.0, 1.13
'008_num-traits', true, 51, 51, 51, 21, 0, '2018-11-15 08:06:49', '2018-11-15 08:07:11', 0.1, 0.0, 0.57, 5.86
'009_memchr', true, 8, 8, 8, 57, 0, '2018-11-15 08:07:11', '2018-11-15 08:08:08', 0.1, 0.0, 2.20, 29.39
'010_rustc-serialize', true, 1, 1, 1, 56, 0, '2018-11-15 08:08:08', '2018-11-15 08:09:05', 0.3, 0.0, 0.0, 1.32
'012_unicode-xid', true, 2, 2, 2, 5, 0, '2018-11-15 08:09:05', '2018-11-15 08:09:10', 0.0, 0.0, 0.0, 1.41
'013_aho-corasick', true, 2, 2, 2, 40, 0, '2018-11-15 08:09:10', '2018-11-15 08:09:51', 0.0, 0.0, 0.0, 1.42
'014_winapi-build', true, 0, 0, 0, 3, 0, '2018-11-15 08:09:51', '2018-11-15 08:09:54', 0.0, 0.0, 0.0, 1.7
'015_quote', true, 2, 2, 2, 26, 0, '2018-11-15 08:09:54', '2018-11-15 08:10:20', 0.0, 0.0, 0.15, 4.20
'017_thread_local', true, 1, 1, 1, 8, 0, '2018-11-15 08:10:20', '2018-11-15 08:10:28', 0.0, 0.0, 0.0, 1.26
'018_time', true, 16, 16, 16, 33, 0, '2018-11-15 08:10:28', '2018-11-15 08:11:01', 0.1, 0.0, 0.57, 13.35
'019_utf8-ranges', true, 1, 1, 1, 5, 0, '2018-11-15 08:11:01', '2018-11-15 08:11:06', 0.0, 0.0, 0.0, 1.50
'020_byteorder', true, 2, 2, 2, 7, 0, '2018-11-15 08:11:06', '2018-11-15 08:11:13', 0.1, 0.0, 0.3, 1.31
'022_cfg-if', true, 0, 0, 0, 3, 0, '2018-11-15 08:11:13', '2018-11-15 08:11:16', 0.0, 0.0, 0.0, 1.10
'023_url', true, 2, 2, 2, 152, 0, '2018-11-15 08:11:16', '2018-11-15 08:13:48', 0.2, 0.0, 0.1, 1.36
'024_num_cpus', true, 2, 2, 2, 11, 0, '2018-11-15 08:13:48', '2018-11-15 08:13:59', 0.0, 0.0, 0.0, 1.24
'025_gcc', true, 0, 0, 0, 17, 0, '2018-11-15 08:13:59', '2018-11-15 08:14:16', 0.0, 0.0, 0.0, 1.14
'026_pkg-config', true, 0, 0, 0, 8, 0, '2018-11-15 08:14:16', '2018-11-15 08:14:24', 0.0, 0.0, 0.0, 1.13
'027_semver', true, 0, 0, 0, 16, 0, '2018-11-15 08:14:24', '2018-11-15 08:14:40', 0.0, 0.0, 0.0, 1.7
'028_itoa', true, 0, 0, 0, 5, 0, '2018-11-15 08:14:40', '2018-11-15 08:14:45', 0.0, 0.0, 0.0, 1.13
'029_matches', true, 0, 0, 0, 3, 0, '2018-11-15 08:14:45', '2018-11-15 08:14:48', 0.0, 0.0, 0.0, 1.9
'032_num-integer', true, 0, 0, 0, 26, 0, '2018-11-15 08:14:48', '2018-11-15 08:15:14', 0.0, 0.0, 0.0, 1.10
'033_unicode-normalization', true, 0, 0, 0, 95, 0, '2018-11-15 08:15:14', '2018-11-15 08:16:49', 0.8, 0.0, 0.0, 1.8
'034_strsim', true, 0, 0, 0, 5, 0, '2018-11-15 08:16:49', '2018-11-15 08:16:54', 0.0, 0.0, 0.0, 1.9
'035_void', true, 1, 1, 1, 3, 0, '2018-11-15 08:16:54', '2018-11-15 08:16:57', 0.0, 0.0, 0.0, 1.29
'036_unicode-bidi', true, 1, 1, 1, 15, 0, '2018-11-15 08:16:57', '2018-11-15 08:17:12', 0.1, 0.0, 0.0, 1.57
'037_num', true, 0, 0, 0, 83, 0, '2018-11-15 08:17:12', '2018-11-15 08:18:35', 0.0, 0.0, 0.0, 1.10
'038_unreachable', true, 0, 0, 0, 6, 0, '2018-11-15 08:18:35', '2018-11-15 08:18:41', 0.0, 0.0, 0.0, 1.11
'039_dtoa', true, 4, 4, 4, 8, 0, '2018-11-15 08:18:41', '2018-11-15 08:18:49', 0.0, 0.0, 0.17, 4.41
'041_idna', true, 0, 0, 0, 126, 0, '2018-11-15 08:18:49', '2018-11-15 08:20:55', 0.0, 0.0, 0.0, 1.18
'042_clap', true, 73, 73, 73, 159, 0, '2018-11-15 08:20:55', '2018-11-15 08:23:35', 0.8, 0.0, 0.41, 5.92
'043_openssl-sys', true, 0, 0, 0, 42, 0, '2018-11-15 08:23:35', '2018-11-15 08:24:17', 0.2, 0.0, 0.0, 1.17
'044_num-iter', true, 0, 0, 0, 32, 0, '2018-11-15 08:24:17', '2018-11-15 08:24:49', 0.0, 0.0, 0.0, 1.14
'045_ansi_term', true, 8, 8, 8, 136, 0, '2018-11-15 08:24:49', '2018-11-15 08:27:05', 0.0, 0.0, 2.96, 125.71
'046_unicase', true, 0, 0, 0, 13, 0, '2018-11-15 08:27:05', '2018-11-15 08:27:18', 0.1, 0.0, 0.0, 1.12
'048_mime', true, 1, 1, 1, 20, 0, '2018-11-15 08:27:18', '2018-11-15 08:27:38', 0.0, 0.0, 0.1, 1.52
'049_vec_map', true, 1, 1, 1, 4, 0, '2018-11-15 08:27:38', '2018-11-15 08:27:42', 0.0, 0.0, 0.0, 1.16
'050_chrono', true, 13, 13, 13, 130, 0, '2018-11-15 08:27:42', '2018-11-15 08:29:53', 0.7, 0.0, 0.69, 59.15
'051_unicode-width', true, 2, 2, 2, 4, 0, '2018-11-15 08:29:53', '2018-11-15 08:29:57', 0.0, 0.0, 0.1, 1.45
'052_slab', true, 0, 0, 0, 4, 0, '2018-11-15 08:29:57', '2018-11-15 08:30:01', 0.0, 0.0, 0.0, 1.10
'053_cc', true, 0, 0, 0, 20, 0, '2018-11-15 08:30:01', '2018-11-15 08:30:21', 0.0, 0.0, 0.0, 1.10
'054_term', true, 0, 0, 0, 19, 0, '2018-11-15 08:30:21', '2018-11-15 08:30:40', 0.1, 0.0, 0.0, 1.16
'055_thread-id', true, 1, 1, 1, 10, 0, '2018-11-15 08:30:40', '2018-11-15 08:30:50', 0.0, 0.0, 0.0, 1.25
'056_atty', true, 1, 1, 1, 10, 0, '2018-11-15 08:30:50', '2018-11-15 08:31:00', 0.0, 0.0, 0.0, 1.37
'057_openssl', true, 149, 149, 149, 111, 0, '2018-11-15 08:31:00', '2018-11-15 08:32:52', 0.8, 0.0, 1.19, 10.91
'058_backtrace', true, 1, 1, 1, 43, 0, '2018-11-15 08:32:52', '2018-11-15 08:33:35', 0.0, 0.0, 0.3, 1.52
'059_tempdir', true, 0, 0, 0, 28, 0, '2018-11-15 08:33:35', '2018-11-15 08:34:03', 0.0, 0.0, 0.0, 1.11
'060_httparse', true, 1, 1, 1, 14, 0, '2018-11-15 08:34:03', '2018-11-15 08:34:17', 0.0, 0.0, 0.2, 1.61
'061_rustc_version', true, 0, 0, 0, 23, 0, '2018-11-15 08:34:17', '2018-11-15 08:34:40', 0.0, 0.0, 0.0, 1.14
'062_error-chain', true, 0, 0, 0, 52, 0, '2018-11-15 08:34:40', '2018-11-15 08:35:32', 0.0, 0.0, 0.0, 1.25
'063_smallvec', true, 36, 36, 36, 12, 0, '2018-11-15 08:35:32', '2018-11-15 08:35:44', 0.0, 0.0, 0.7, 2.15
'065_rustc-demangle', true, 0, 0, 0, 6, 0, '2018-11-15 08:35:44', '2018-11-15 08:35:50', 0.0, 0.0, 0.0, 1.7
'066_proc-macro2', true, 2, 2, 2, 20, 0, '2018-11-15 08:35:50', '2018-11-15 08:36:10', 0.1, 0.0, 0.0, 1.23
'067_base64', true, 0, 0, 0, 18, 0, '2018-11-15 08:36:10', '2018-11-15 08:36:28', 0.1, 0.0, 0.0, 1.12
'068_uuid', true, 1, 1, 1, 11, 0, '2018-11-15 08:36:28', '2018-11-15 08:36:39', 0.0, 0.0, 0.0, 1.58
'069_net2', true, 26, 26, 26, 17, 0, '2018-11-15 08:36:39', '2018-11-15 08:36:56', 0.1, 0.0, 0.6, 2.32
'070_language-tags', true, 1, 1, 1, 9, 0, '2018-11-15 08:36:56', '2018-11-15 08:37:05', 0.0, 0.0, 0.1, 1.67
'071_percent-encoding', true, 0, 0, 0, 4, 0, '2018-11-15 08:37:05', '2018-11-15 08:37:09', 0.0, 0.0, 0.0, 1.13
'072_traitobject', true, 0, 0, 0, 3, 0, '2018-11-15 08:37:09', '2018-11-15 08:37:12', 0.0, 0.0, 0.0, 1.10
'073_backtrace-sys', true, 0, 0, 0, 29, 0, '2018-11-15 08:37:12', '2018-11-15 08:37:42', 0.0, 0.0, 0.0, 1.6
'074_futures', true, 4, 4, 4, 26, 0, '2018-11-15 08:37:42', '2018-11-15 08:38:08', 0.5, 0.0, 0.4, 1.57
'075_lazycell', true, 0, 0, 0, 4, 0, '2018-11-15 08:38:08', '2018-11-15 08:38:12', 0.0, 0.0, 0.0, 1.9
'077_quick-error', true, 0, 0, 0, 3, 0, '2018-11-15 08:38:12', '2018-11-15 08:38:15', 0.0, 0.0, 0.0, 1.11
'078_crossbeam', true, 0, 0, 0, 164, 0, '2018-11-15 08:38:15', '2018-11-15 08:40:59', 0.0, 0.0, 0.0, 1.20
'079_flate2', true, 13, 13, 13, 40, 0, '2018-11-15 08:40:59', '2018-11-15 08:41:39', 0.2, 0.0, 0.3, 1.96
'081_mio', true, 36, 36, 36, 52, 0, '2018-11-15 08:41:39', '2018-11-15 08:42:31', 0.3, 0.0, 0.37, 6.23
'082_textwrap', true, 0, 0, 0, 10, 0, '2018-11-15 08:42:31', '2018-11-15 08:42:41', 0.0, 0.0, 0.0, 1.8
'083_scopeguard', true, 1, 1, 1, 4, 0, '2018-11-15 08:42:41', '2018-11-15 08:42:45', 0.0, 0.0, 0.0, 1.24
'084_bytes', true, 2, 2, 2, 26, 0, '2018-11-15 08:42:45', '2018-11-15 08:43:11', 0.1, 0.0, 0.4, 1.27
'086_getopts', true, 0, 0, 0, 12, 0, '2018-11-15 08:43:11', '2018-11-15 08:43:23', 0.0, 0.0, 0.0, 1.10
'087_nodrop', true, 0, 0, 0, 3, 0, '2018-11-15 08:43:23', '2018-11-15 08:43:26', 0.0, 0.0, 0.0, 1.10
'088_glob', true, 1, 1, 1, 10, 0, '2018-11-15 08:43:26', '2018-11-15 08:43:36', 0.0, 0.0, 0.0, 1.44
