"Crate name","Number of dependencies","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"000_libc",1,0,0,0,1.49
"001_bitflags",1,0,0,0,1.44
"002_log",2,0.1,0,0.5,3.67
"003_lazy_static",3,0,0,0,4.39
"005_winapi",2,0,0,0,2.85
"008_num-traits",2,0.1,0,0.56,6.52
"009_memchr",5,0.1,0,2.16,19.81
"010_rustc-serialize",1,0.2,0,0,1.64
"012_unicode-xid",1,0,0,0,1.77
"013_aho-corasick",7,0.1,0,0,13.56
"014_winapi-build",1,0,0,0,1.46
"015_quote",4,0.1,0,0.13,8.10
"017_thread_local",2,0,0,0,3.01
"018_time",2,0.1,0,0.58,9.01
"019_utf8-ranges",1,0,0,0,1.90
"020_byteorder",1,0.1,0,0.2,1.69
"022_cfg-if",1,0,0,0,1.41
"023_url",6,1.3,0,0,9.84
"024_num_cpus",2,0,0,0,2.98
"025_gcc",2,0.1,0,0,2.88
"026_pkg-config",1,0,0,0,1.37
"027_semver",2,0,0,0,2.82
"028_itoa",1,0,0,0,1.45
"029_matches",1,0,0,0,1.43
"032_num-integer",4,0.2,0,0,7.35
"033_unicode-normalization",1,0.8,0,0,1.43
"034_strsim",1,0,0,0,1.42
"035_void",1,0,0,0,1.65
"036_unicode-bidi",2,0.1,0,0,3.34
"037_num",13,0.5,0,0,46.13
"038_unreachable",2,0,0,0,2.79
"039_dtoa",1,0,0,0.17,3.32
"041_idna",4,0.9,0,0,5.98
"042_clap",9,0.8,0,0.41,28.99
"043_openssl-sys",5,0.3,0,0,9.06
"044_num-iter",6,0.1,0,0,12.82
"045_ansi_term",1,0,0,3.12,22.88
"046_unicase",3,0.1,0,0,4.30
"048_mime",4,0.1,0,0.1,6.12
"049_vec_map",1,0,0,0,1.61
"050_chrono",7,0.9,0,0.71,25.63
"051_unicode-width",1,0,0,0,1.74
"052_slab",1,0,0,0,1.40
"053_cc",2,0.1,0,0,2.90
"054_term",2,0.2,0,0,2.90
"055_thread-id",2,0,0,0,3.01
"056_atty",2,0,0,0,3.21
"057_openssl",12,1.2,0,1.22,49.75
"058_backtrace",7,0.1,0,0.3,11.60
"059_tempdir",4,0.2,0,0,5.84
"060_httparse",2,0,0,0.1,3.26
"061_rustc_version",3,0,0,0,4.19
"062_error-chain",9,0.1,0,0,14.23
"063_smallvec",3,0,0,0.6,5.34
"065_rustc-demangle",1,0,0,0,1.40
"066_proc-macro2",3,0.1,0,0,4.80
"067_base64",3,0.2,0,0,4.33
"068_uuid",1,0,0,0,1.84
"069_net2",3,0.1,0,0.6,5.34
"070_language-tags",1,0,0,0.1,1.89
"071_percent-encoding",1,0,0,0,1.39
"072_traitobject",1,0,0,0,1.46
"073_backtrace-sys",4,0.1,0,0,5.79
"074_futures",1,0.5,0,0.3,1.95
"075_lazycell",1,0,0,0,1.39
"077_quick-error",1,0,0,0,1.38
"078_crossbeam",31,2.8,0.1,0,117.28
"079_flate2",5,0.3,0,0.3,8.24
"081_mio",8,0.4,0,0.36,21.01
"082_textwrap",2,0,0,0,2.88
"083_scopeguard",1,0,0,0,1.74
"084_bytes",4,0.2,0,0.3,7.76
"086_getopts",2,0,0,0,2.88
"087_nodrop",1,0,0,0,1.36
"088_glob",1,0,0,0,1.86
"089_either",1,0,0,0,1.39
"090_typeable",1,0,0,0,1.41
"091_miniz-sys",4,0.1,0,0,6.03
"092_walkdir",2,0,0,0,2.82
"093_unicode-segmentation",1,0.2,0,0.29,5.20
"094_fnv",1,0,0,0,1.69
"095_num-rational",8,0.4,0,0,20.53
"096_libz-sys",5,0.1,0,0,8.59
"097_version_check",1,0,0,0,1.43
"098_crossbeam-utils",1,0,0,0,1.42
"099_semver-parser",1,0,0,0,1.37
"101_arrayvec",2,0,0,0.11,4.35
"102_scoped-tls",1,0,0,0,1.41
"103_crossbeam-epoch",8,0.2,0,0,35.35
"104_num-bigint",6,0.3,0,0.1,13.65
"105_cmake",2,0.1,0,0,2.82
"106_foreign-types",2,0,0,0,2.76
"107_filetime",3,0,0,0.1,5.50
"108_phf_shared",2,0,0,0.2,3.56
"109_phf",3,0,0,0,4.29
"110_nix",6,0.11,0.1,3.17,35.91
"111_num-complex",4,0.2,0,0,7.59
"112_iovec",2,0,0,0,2.85
"113_termcolor",1,0,0,0.24,3.66
"114_phf_generator",7,0.9,0,0,13.39
"115_miow",6,1.1,0,0,9.25
"117_phf_codegen",8,0.5,0,0,14.27
"118_safemem",1,0,0,0,1.39
"119_cookie",3,0.1,0,0.1,5.11
"120_crossbeam-deque",9,0.2,0,0,35.82
"122_same-file",1,0,0,0.4,2.15
"124_ucd-util",1,0,0,0,1.37
"125_siphasher",1,0,0,0.13,3.25
"126_curl-sys",9,0.5,0,0,17.25
"127_xml-rs",2,0.2,0,0,2.82
"128_rayon-core",13,0.3,0,0,51.09
"129_pulldown-cmark",6,0.2,0,0,10.63
"130_linked-hash-map",1,0,0,0,1.47
"131_tokio-io",8,0.70,0,0.46,17.64
