"Crate name","Successful cleanup","Successful compilation","Duration (s)","Exit status","Start","End"
"000_libc",true,true,3,0,"2018-11-14 04:20:09","2018-11-14 04:20:12"
"001_bitflags",true,true,0,0,"2018-11-14 04:20:12","2018-11-14 04:20:12"
"002_log",true,true,2,0,"2018-11-14 04:20:12","2018-11-14 04:20:14"
"003_lazy_static",true,true,1,0,"2018-11-14 04:20:14","2018-11-14 04:20:15"
"004_serde",true,false,70,101,"2018-11-14 04:20:15","2018-11-14 04:21:25"
"005_winapi",true,true,195,0,"2018-11-14 04:21:25","2018-11-14 04:24:40"
"006_regex",true,false,900,124,"2018-11-14 04:24:40","2018-11-14 04:39:40"
"007_regex-syntax",true,false,900,124,"2018-11-14 04:39:40","2018-11-14 04:54:40"
"008_num-traits",true,true,7,0,"2018-11-14 04:54:40","2018-11-14 04:54:47"
"009_memchr",true,true,6,0,"2018-11-14 04:54:47","2018-11-14 04:54:53"
"010_rustc-serialize",true,true,42,0,"2018-11-14 04:54:53","2018-11-14 04:55:35"
"011_syn",true,false,28,101,"2018-11-14 04:55:35","2018-11-14 04:56:03"
"012_unicode-xid",true,true,1,0,"2018-11-14 04:56:03","2018-11-14 04:56:04"
"013_aho-corasick",true,true,13,0,"2018-11-14 04:56:04","2018-11-14 04:56:17"
"014_winapi-build",true,true,1,0,"2018-11-14 04:56:17","2018-11-14 04:56:18"
"015_quote",true,true,7,0,"2018-11-14 04:56:18","2018-11-14 04:56:25"
"016_kernel32-sys",true,false,0,101,"2018-11-14 04:56:25","2018-11-14 04:56:25"
"017_thread_local",true,true,2,0,"2018-11-14 04:56:25","2018-11-14 04:56:27"
"018_time",true,true,9,0,"2018-11-14 04:56:27","2018-11-14 04:56:36"
"019_utf8-ranges",true,true,1,0,"2018-11-14 04:56:36","2018-11-14 04:56:37"
"020_byteorder",true,true,3,0,"2018-11-14 04:56:37","2018-11-14 04:56:40"
"021_serde_json",true,false,68,101,"2018-11-14 04:56:40","2018-11-14 04:57:48"
"022_cfg-if",true,true,0,0,"2018-11-14 04:57:48","2018-11-14 04:57:48"
"023_url",true,true,104,0,"2018-11-14 04:57:48","2018-11-14 04:59:32"
"024_num_cpus",true,true,3,0,"2018-11-14 04:59:32","2018-11-14 04:59:35"
"025_gcc",true,true,8,0,"2018-11-14 04:59:35","2018-11-14 04:59:43"
"026_pkg-config",true,true,4,0,"2018-11-14 04:59:43","2018-11-14 04:59:47"
"027_semver",true,true,8,0,"2018-11-14 04:59:47","2018-11-14 04:59:55"
"028_itoa",true,true,1,0,"2018-11-14 04:59:55","2018-11-14 04:59:56"
"029_matches",true,true,0,0,"2018-11-14 04:59:56","2018-11-14 04:59:56"
"030_serde_derive",true,false,28,101,"2018-11-14 04:59:56","2018-11-14 05:00:24"
"031_env_logger",true,false,900,124,"2018-11-14 05:00:24","2018-11-14 05:15:24"
"032_num-integer",true,true,9,0,"2018-11-14 05:15:24","2018-11-14 05:15:33"
