'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'002_log', "log::eq_ignore_ascii_case[0]::to_ascii_uppercase[0]", true, 6, 0, '2018-11-14 17:25:20', '2018-11-14 17:25:26', 0.0, 0.0, 0.3, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[16]::mul_add_assign[0]", false, 15, 101, '2018-11-14 17:25:27', '2018-11-14 17:25:42', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[17]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:25:42', '2018-11-14 17:25:56', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[18]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:25:56', '2018-11-14 17:26:12', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[19]::mul_add_assign[0]", false, 13, 101, '2018-11-14 17:26:12', '2018-11-14 17:26:25', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[20]::mul_add_assign[0]", false, 15, 101, '2018-11-14 17:26:25', '2018-11-14 17:26:41', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[21]::mul_add_assign[0]", false, 13, 101, '2018-11-14 17:26:41', '2018-11-14 17:26:54', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[22]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:26:54', '2018-11-14 17:27:10', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[23]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:27:10', '2018-11-14 17:27:24', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[24]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:27:24', '2018-11-14 17:27:40', 0.1, 0.0, 0.4, 
