'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::minutes[0]", true, 4, 0, '2018-11-14 17:51:44', '2018-11-14 17:51:48', 0.1, 0.0, 0.4, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::hours[0]", true, 4, 0, '2018-11-14 17:51:48', '2018-11-14 17:51:52', 0.1, 0.0, 0.4, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_millis[0]", false, 4, 101, '2018-11-14 17:51:52', '2018-11-14 17:51:56', 0.1, 0.0, 0.3, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_seconds[0]", false, 4, 101, '2018-11-14 17:51:56', '2018-11-14 17:52:00', 0.1, 0.0, 0.4, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_minutes[0]", false, 4, 101, '2018-11-14 17:52:00', '2018-11-14 17:52:04', 0.1, 0.0, 0.4, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[13]::from_hours[0]", false, 4, 101, '2018-11-14 17:52:04', '2018-11-14 17:52:08', 0.1, 0.0, 0.5, 
'209_fixedbitset', "fixedbitset::div_rem[0]", false, 5, 101, '2018-11-14 17:52:08', '2018-11-14 17:52:13', 0.0, 0.0, 0.2, 
'270_rls-span', "rls_span::{{impl}}[3]::zero_indexed[0]", false, 7, 101, '2018-11-14 17:52:13', '2018-11-14 17:52:20', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[4]::one_indexed[0]", false, 7, 101, '2018-11-14 17:52:20', '2018-11-14 17:52:27', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[8]::zero_indexed[0]", false, 7, 101, '2018-11-14 17:52:27', '2018-11-14 17:52:34', 0.0, 0.0, 0.1, 
'270_rls-span', "rls_span::{{impl}}[9]::one_indexed[0]", false, 8, 101, '2018-11-14 17:52:34', '2018-11-14 17:52:42', 0.0, 0.0, 0.1, 
'286_ryu', "ryu::d2s_intrinsics[0]::div5[0]", true, 5, 0, '2018-11-14 17:52:42', '2018-11-14 17:52:47', 0.0, 0.0, 0.0, 
'286_ryu', "ryu::d2s_intrinsics[0]::div10[0]", true, 4, 0, '2018-11-14 17:52:47', '2018-11-14 17:52:51', 0.0, 0.0, 0.2, 
'286_ryu', "ryu::d2s_intrinsics[0]::div100[0]", true, 3, 0, '2018-11-14 17:52:51', '2018-11-14 17:52:54', 0.0, 0.0, 0.2, 
'286_ryu', "ryu::d2s_intrinsics[0]::div100_000_000[0]", true, 4, 0, '2018-11-14 17:52:54', '2018-11-14 17:52:58', 0.0, 0.0, 0.2, 
'305_json', "json::util[0]::diyfp[0]::{{impl}}[1]::sub[0]", false, 16, 101, '2018-11-14 17:52:58', '2018-11-14 17:53:14', 0.1, 0.0, 0.1, 
'306_deflate', "deflate::chained_hash_table[0]::{{impl}}[2]::slide_value[0]", false, 14, 101, '2018-11-14 17:53:14', '2018-11-14 17:53:28', 0.2, 0.0, 0.2, 
'306_deflate', "deflate::deflate_state[0]::{{impl}}[0]::add[0]", false, 12, 101, '2018-11-14 17:53:28', '2018-11-14 17:53:40', 0.2, 0.0, 0.1, 
'352_wayland-sys', "wayland_sys::common[0]::wl_fixed_to_int[0]", true, 3, 0, '2018-11-14 17:53:41', '2018-11-14 17:53:44', 0.0, 0.0, 0.0, 
'352_wayland-sys', "wayland_sys::common[0]::wl_fixed_from_int[0]", false, 3, 101, '2018-11-14 17:53:44', '2018-11-14 17:53:47', 0.0, 0.0, 0.0, 
'371_http', "http::header[0]::map[0]::usable_capacity[0]", true, 104, 0, '2018-11-14 17:53:48', '2018-11-14 17:55:32', 0.4, 0.0, 0.2, 
'371_http', "http::header[0]::map[0]::to_raw_capacity[0]", false, 4, 101, '2018-11-14 17:55:32', '2018-11-14 17:55:37', 0.4, 0.0, 0.25, 
'382_bytecount', "bytecount::{{impl}}[0]::increment[0]", false, 4, 101, '2018-11-14 17:55:37', '2018-11-14 17:55:41', 0.0, 0.0, 0.1, 
'395_indexmap', "indexmap::map[0]::usable_capacity[0]", true, 8, 0, '2018-11-14 17:55:42', '2018-11-14 17:55:50', 0.1, 0.0, 0.2, 
'395_indexmap', "indexmap::map[0]::to_raw_capacity[0]", false, 4, 101, '2018-11-14 17:55:50', '2018-11-14 17:55:54', 0.1, 0.0, 0.10, 
'423_h2', "h2::hpack[0]::table[0]::usable_capacity[0]", true, 61, 0, '2018-11-14 17:55:54', '2018-11-14 17:56:55', 0.9, 0.0, 0.1, 
'423_h2', "h2::hpack[0]::table[0]::to_raw_capacity[0]", false, 5, 101, '2018-11-14 17:56:55', '2018-11-14 17:57:00', 0.9, 0.0, 0.36, 
'423_h2', "h2::frame[0]::headers[0]::decoded_header_size[0]", false, 5, 101, '2018-11-14 17:57:00', '2018-11-14 17:57:05', 0.9, 0.0, 0.34, 
'423_h2', "h2::proto[0]::streams[0]::counts[0]::{{impl}}[0]::dec_num_reset_streams[0]", false, 6, 101, '2018-11-14 17:57:05', '2018-11-14 17:57:11', 0.9, 0.0, 0.44, 
'492_matrixmultiply', "matrixmultiply::util[0]::round_up_to[0]", false, 13, 101, '2018-11-14 17:57:11', '2018-11-14 17:57:24', 0.0, 0.0, 0.6, 
